日期,年份,季度,月份,月份名称,周,星期,是否周末,是否节假日
2024-01-01,2024,Q1,1,一月,1,周一,否,是
2024-01-02,2024,Q1,1,一月,1,周二,否,否
2024-01-03,2024,Q1,1,一月,1,周三,否,否
2024-01-04,2024,Q1,1,一月,1,周四,否,否
2024-01-05,2024,Q1,1,一月,1,周五,否,否
2024-01-06,2024,Q1,1,一月,1,周六,是,否
2024-01-07,2024,Q1,1,一月,1,周日,是,否
2024-01-08,2024,Q1,1,一月,2,周一,否,否
2024-01-09,2024,Q1,1,一月,2,周二,否,否
2024-01-10,2024,Q1,1,一月,2,周三,否,否
2024-01-11,2024,Q1,1,一月,2,周四,否,否
2024-01-12,2024,Q1,1,一月,2,周五,否,否
2024-01-13,2024,Q1,1,一月,2,周六,是,否
2024-01-14,2024,Q1,1,一月,2,周日,是,否
2024-01-15,2024,Q1,1,一月,3,周一,否,否
2024-01-16,2024,Q1,1,一月,3,周二,否,否
2024-01-17,2024,Q1,1,一月,3,周三,否,否
2024-01-18,2024,Q1,1,一月,3,周四,否,否
2024-01-19,2024,Q1,1,一月,3,周五,否,否
2024-01-20,2024,Q1,1,一月,3,周六,是,否
2024-01-21,2024,Q1,1,一月,3,周日,是,否
2024-01-22,2024,Q1,1,一月,4,周一,否,否
2024-01-23,2024,Q1,1,一月,4,周二,否,否
2024-01-24,2024,Q1,1,一月,4,周三,否,否
2024-01-25,2024,Q1,1,一月,4,周四,否,否
2024-01-26,2024,Q1,1,一月,4,周五,否,否
2024-01-27,2024,Q1,1,一月,4,周六,是,否
2024-01-28,2024,Q1,1,一月,4,周日,是,否
2024-01-29,2024,Q1,1,一月,5,周一,否,否
2024-01-30,2024,Q1,1,一月,5,周二,否,否
2024-01-31,2024,Q1,1,一月,5,周三,否,否
2024-02-01,2024,Q1,2,二月,5,周四,否,否
2024-02-02,2024,Q1,2,二月,5,周五,否,否
2024-02-03,2024,Q1,2,二月,5,周六,是,否
2024-02-04,2024,Q1,2,二月,5,周日,是,否
2024-02-05,2024,Q1,2,二月,6,周一,否,否
2024-02-06,2024,Q1,2,二月,6,周二,否,否
2024-02-07,2024,Q1,2,二月,6,周三,否,否
2024-02-08,2024,Q1,2,二月,6,周四,否,否
2024-02-09,2024,Q1,2,二月,6,周五,否,否
2024-02-10,2024,Q1,2,二月,6,周六,是,否
2024-02-11,2024,Q1,2,二月,6,周日,是,否
2024-02-12,2024,Q1,2,二月,7,周一,否,否
2024-02-13,2024,Q1,2,二月,7,周二,否,否
2024-02-14,2024,Q1,2,二月,7,周三,否,否
2024-02-15,2024,Q1,2,二月,7,周四,否,否
2024-02-16,2024,Q1,2,二月,7,周五,否,否
2024-02-17,2024,Q1,2,二月,7,周六,是,否
2024-02-18,2024,Q1,2,二月,7,周日,是,否
2024-02-19,2024,Q1,2,二月,8,周一,否,否
2024-02-20,2024,Q1,2,二月,8,周二,否,否
2024-02-21,2024,Q1,2,二月,8,周三,否,否
2024-02-22,2024,Q1,2,二月,8,周四,否,否
2024-02-23,2024,Q1,2,二月,8,周五,否,否
2024-02-24,2024,Q1,2,二月,8,周六,是,否
2024-02-25,2024,Q1,2,二月,8,周日,是,否
2024-02-26,2024,Q1,2,二月,9,周一,否,否
2024-02-27,2024,Q1,2,二月,9,周二,否,否
2024-02-28,2024,Q1,2,二月,9,周三,否,否
2024-02-29,2024,Q1,2,二月,9,周四,否,否
2024-03-01,2024,Q1,3,三月,9,周五,否,否
2024-03-02,2024,Q1,3,三月,9,周六,是,否
2024-03-03,2024,Q1,3,三月,9,周日,是,否
2024-03-04,2024,Q1,3,三月,10,周一,否,否
2024-03-05,2024,Q1,3,三月,10,周二,否,否
2024-03-06,2024,Q1,3,三月,10,周三,否,否
2024-03-07,2024,Q1,3,三月,10,周四,否,否
2024-03-08,2024,Q1,3,三月,10,周五,否,否
2024-03-09,2024,Q1,3,三月,10,周六,是,否
2024-03-10,2024,Q1,3,三月,10,周日,是,否
2024-03-11,2024,Q1,3,三月,11,周一,否,否
2024-03-12,2024,Q1,3,三月,11,周二,否,否
2024-03-13,2024,Q1,3,三月,11,周三,否,否
2024-03-14,2024,Q1,3,三月,11,周四,否,否
2024-03-15,2024,Q1,3,三月,11,周五,否,否
2024-03-16,2024,Q1,3,三月,11,周六,是,否
2024-03-17,2024,Q1,3,三月,11,周日,是,否
2024-03-18,2024,Q1,3,三月,12,周一,否,否
2024-03-19,2024,Q1,3,三月,12,周二,否,否
2024-03-20,2024,Q1,3,三月,12,周三,否,否
2024-03-21,2024,Q1,3,三月,12,周四,否,否
2024-03-22,2024,Q1,3,三月,12,周五,否,否
2024-03-23,2024,Q1,3,三月,12,周六,是,否
2024-03-24,2024,Q1,3,三月,12,周日,是,否
2024-03-25,2024,Q1,3,三月,13,周一,否,否
2024-03-26,2024,Q1,3,三月,13,周二,否,否
2024-03-27,2024,Q1,3,三月,13,周三,否,否
2024-03-28,2024,Q1,3,三月,13,周四,否,否
2024-03-29,2024,Q1,3,三月,13,周五,否,否
2024-03-30,2024,Q1,3,三月,13,周六,是,否
2024-03-31,2024,Q1,3,三月,13,周日,是,否
