订单ID,订单日期,产品ID,客户ID,员工ID,地区ID,数量,单价,金额,支付方式
ORD001,2024-01-05,P001,C001,E001,R001,2,5999.00,11998.00,微信支付
ORD002,2024-01-08,P002,C002,E002,R002,1,3999.00,3999.00,支付宝
ORD003,2024-01-12,P003,C003,E001,R001,3,299.00,897.00,信用卡
ORD004,2024-01-15,P001,C004,E003,R003,1,5999.00,5999.00,微信支付
ORD005,2024-01-20,P004,C005,E002,R002,2,899.00,1798.00,现金
ORD006,2024-02-03,P002,C001,E001,R001,1,3999.00,3999.00,支付宝
ORD007,2024-02-10,P005,C006,E003,R003,5,199.00,995.00,微信支付
ORD008,2024-02-14,P003,C002,E002,R002,2,299.00,598.00,信用卡
ORD009,2024-02-18,P001,C007,E001,R001,1,5999.00,5999.00,微信支付
ORD010,2024-02-25,P006,C003,E003,R003,3,499.00,1497.00,支付宝
ORD011,2024-03-02,P002,C004,E002,R002,1,3999.00,3999.00,微信支付
ORD012,2024-03-08,P004,C005,E001,R001,4,899.00,3596.00,信用卡
ORD013,2024-03-15,P005,C001,E003,R003,2,199.00,398.00,支付宝
ORD014,2024-03-20,P001,C006,E002,R002,1,5999.00,5999.00,微信支付
ORD015,2024-03-28,P003,C007,E001,R001,6,299.00,1794.00,现金
ORD016,2024-04-05,P002,C002,E003,R003,1,3999.00,3999.00,微信支付
ORD017,2024-04-12,P006,C003,E001,R001,2,499.00,998.00,支付宝
ORD018,2024-04-18,P004,C004,E002,R002,3,899.00,2697.00,信用卡
ORD019,2024-04-25,P005,C005,E003,R003,4,199.00,796.00,微信支付
ORD020,2024-05-02,P001,C006,E001,R001,1,5999.00,5999.00,支付宝
ORD021,2024-05-10,P003,C007,E002,R002,2,299.00,598.00,微信支付
ORD022,2024-05-18,P002,C001,E003,R003,1,3999.00,3999.00,信用卡
ORD023,2024-05-25,P006,C002,E001,R001,5,499.00,2495.00,微信支付
ORD024,2024-06-03,P004,C003,E002,R002,2,899.00,1798.00,支付宝
ORD025,2024-06-12,P005,C004,E003,R003,3,199.00,597.00,微信支付
ORD026,2024-06-20,P001,C005,E001,R001,1,5999.00,5999.00,现金
ORD027,2024-06-28,P003,C006,E002,R002,4,299.00,1196.00,信用卡
ORD028,2024-07-05,P002,C007,E003,R003,1,3999.00,3999.00,微信支付
ORD029,2024-07-15,P006,C001,E001,R001,2,499.00,998.00,支付宝
ORD030,2024-07-22,P004,C002,E002,R002,1,899.00,899.00,微信支付
ORD031,2024-07-30,P005,C003,E003,R003,6,199.00,1194.00,信用卡
ORD032,2024-08-08,P001,C004,E001,R001,1,5999.00,5999.00,微信支付
ORD033,2024-08-16,P003,C005,E002,R002,3,299.00,897.00,支付宝
ORD034,2024-08-24,P002,C006,E003,R003,1,3999.00,3999.00,微信支付
ORD035,2024-09-02,P006,C007,E001,R001,4,499.00,1996.00,信用卡
ORD036,2024-09-10,P004,C001,E002,R002,2,899.00,1798.00,微信支付
ORD037,2024-09-20,P005,C002,E003,R003,5,199.00,995.00,支付宝
ORD038,2024-09-28,P001,C003,E001,R001,1,5999.00,5999.00,现金
ORD039,2024-10-05,P003,C004,E002,R002,2,299.00,598.00,微信支付
ORD040,2024-10-15,P002,C005,E003,R003,1,3999.00,3999.00,信用卡
ORD041,2024-10-22,P006,C006,E001,R001,3,499.00,1497.00,微信支付
ORD042,2024-10-30,P004,C007,E002,R002,1,899.00,899.00,支付宝
ORD043,2024-11-08,P005,C001,E003,R003,4,199.00,796.00,微信支付
ORD044,2024-11-18,P001,C002,E001,R001,1,5999.00,5999.00,信用卡
ORD045,2024-11-25,P003,C003,E002,R002,5,299.00,1495.00,微信支付
ORD046,2024-12-05,P002,C004,E003,R003,1,3999.00,3999.00,支付宝
ORD047,2024-12-15,P006,C005,E001,R001,2,499.00,998.00,微信支付
ORD048,2024-12-22,P004,C006,E002,R002,3,899.00,2697.00,现金
ORD049,2024-12-28,P005,C007,E003,R003,7,199.00,1393.00,信用卡
ORD050,2024-12-31,P001,C001,E001,R001,2,5999.00,11998.00,微信支付
