user_id,order_id,order_date,order_amount,category
U00001,ORD000000,2024-08-15,229.35,家居
U00003,ORD000001,2024-11-13,277.19,食品
U00006,ORD000002,2024-05-25,318.67,食品
U00006,ORD000003,2024-06-08,92.13,服饰
U00020,ORD000004,2024-07-19,72.78,食品
U00030,ORD000005,2024-03-23,256.67,家居
U00043,ORD000006,2024-03-11,142.87,服饰
U00056,ORD000007,2024-12-19,131.34,食品
U00059,ORD000008,2024-03-20,431.61,家居
U00059,ORD000009,2024-04-18,284.93,美妆
U00072,ORD000010,2024-06-12,397.42,服饰
U00077,ORD000011,2024-11-19,148.67,服饰
U00079,ORD000012,2024-08-09,497.25,服饰
U00082,ORD000013,2024-10-15,139.58,美妆
U00088,ORD000014,2024-10-20,223.66,食品
U00088,ORD000015,2024-11-09,242.8,家居
U00090,ORD000016,2024-09-09,419.58,家居
U00090,ORD000017,2024-09-26,210.27,服饰
U00092,ORD000018,2024-11-07,350.28,家居
U00106,ORD000019,2024-07-02,207.79,服饰
U00106,ORD000020,2024-07-21,122.8,食品
U00108,ORD000021,2024-11-14,73.6,家居
U00112,ORD000022,2024-05-28,112.48,数码
U00113,ORD000023,2024-12-18,138.95,食品
U00113,ORD000024,2025-01-15,107.1,服饰
U00137,ORD000025,2024-09-20,469.24,家居
U00140,ORD000026,2024-12-27,433.49,食品
U00142,ORD000027,2024-07-06,439.91,家居
U00149,ORD000028,2024-03-27,478.96,数码
U00158,ORD000029,2024-11-14,62.93,数码
U00165,ORD000030,2024-04-24,468.09,食品
U00168,ORD000031,2024-06-06,241.75,食品
U00170,ORD000032,2024-10-08,423.32,美妆
U00172,ORD000033,2024-02-21,378.36,家居
U00175,ORD000034,2024-10-23,194.17,食品
U00178,ORD000035,2024-08-16,448.34,家居
U00178,ORD000036,2024-09-09,214.75,数码
U00188,ORD000037,2024-09-29,67.78,数码
U00188,ORD000038,2024-10-23,186.98,食品
U00202,ORD000039,2024-04-18,474.21,食品
U00206,ORD000040,2024-02-07,182.29,数码
U00211,ORD000041,2024-09-30,432.29,食品
U00211,ORD000042,2024-10-10,206.44,食品
U00217,ORD000043,2024-07-29,98.36,数码
