user_id,event_type,event_date
U00001,register,2024-08-11
U00001,app_open,2024-08-11
U00001,browse,2024-08-11
U00001,add_to_cart,2024-08-13
U00001,purchase,2024-08-15
U00002,register,2024-12-21
U00002,app_open,2024-12-21
U00003,register,2024-11-08
U00003,app_open,2024-11-08
U00003,browse,2024-11-09
U00003,add_to_cart,2024-11-11
U00003,purchase,2024-11-13
U00004,register,2024-10-09
U00004,browse,2024-10-09
U00005,register,2024-05-24
U00005,app_open,2024-05-24
U00006,register,2024-05-24
U00006,browse,2024-05-25
U00006,add_to_cart,2024-05-25
U00006,purchase,2024-05-25
U00006,repurchase,2024-06-08
U00007,register,2024-03-28
U00007,app_open,2024-03-28
U00007,browse,2024-03-28
U00007,add_to_cart,2024-03-28
U00008,register,2024-12-05
U00008,app_open,2024-12-05
U00008,browse,2024-12-06
U00009,register,2024-10-09
U00009,app_open,2024-10-09
U00009,browse,2024-10-10
U00010,register,2024-11-03
U00010,app_open,2024-11-03
U00010,browse,2024-11-04
U00010,add_to_cart,2024-11-06
U00011,register,2024-02-22
U00011,app_open,2024-02-22
U00011,browse,2024-02-22
U00012,register,2024-12-25
U00012,app_open,2024-12-25
U00012,browse,2024-12-26
U00013,register,2024-11-29
U00014,register,2024-06-17
U00015,register,2024-06-04
U00015,app_open,2024-06-04
U00015,browse,2024-06-05
U00016,register,2024-06-05
U00016,app_open,2024-06-05
U00017,register,2024-07-20
U00017,app_open,2024-07-20
U00017,browse,2024-07-21
U00018,register,2024-09-21
U00018,app_open,2024-09-21
U00018,browse,2024-09-21
U00018,add_to_cart,2024-09-22
U00019,register,2024-08-27
U00019,app_open,2024-08-27
U00019,browse,2024-08-27
U00019,add_to_cart,2024-08-27
U00020,register,2024-07-15
U00020,app_open,2024-07-15
U00020,browse,2024-07-15
U00020,add_to_cart,2024-07-17
U00020,purchase,2024-07-19
U00021,register,2024-10-12
U00021,app_open,2024-10-12
U00021,browse,2024-10-12
U00022,register,2024-05-16
U00023,register,2024-07-16
U00023,app_open,2024-07-16
U00023,browse,2024-07-17
U00024,register,2024-08-08
U00024,app_open,2024-08-08
U00024,browse,2024-08-08
U00025,register,2024-09-03
U00025,app_open,2024-09-03
U00026,register,2024-11-19
U00026,app_open,2024-11-19
U00026,browse,2024-11-19
U00027,register,2024-06-12
U00027,app_open,2024-06-12
U00028,register,2024-09-18
U00028,app_open,2024-09-18
U00028,browse,2024-09-19
U00029,register,2024-10-07
U00029,app_open,2024-10-07
U00029,browse,2024-10-08
U00030,register,2024-03-19
U00030,app_open,2024-03-19
U00030,browse,2024-03-19
U00030,add_to_cart,2024-03-21
U00030,purchase,2024-03-23
U00031,register,2024-10-11
U00031,browse,2024-10-11
U00032,register,2024-05-30
U00032,app_open,2024-05-30
U00032,browse,2024-05-30
U00033,register,2024-04-03
U00034,register,2024-12-21
U00034,app_open,2024-12-21
U00034,browse,2024-12-21
U00034,add_to_cart,2024-12-21
U00035,register,2024-12-24
U00035,app_open,2024-12-24
U00036,register,2024-11-24
U00036,browse,2024-11-24
U00037,register,2024-07-20
U00037,app_open,2024-07-20
U00037,browse,2024-07-21
U00038,register,2024-04-24
U00038,app_open,2024-04-24
U00038,browse,2024-04-24
U00038,add_to_cart,2024-04-24
U00039,register,2024-10-28
U00039,app_open,2024-10-28
U00039,browse,2024-10-28
U00039,add_to_cart,2024-10-29
U00040,register,2024-08-30
U00040,app_open,2024-08-30
U00041,register,2024-05-07
U00041,app_open,2024-05-07
U00041,browse,2024-05-08
U00041,add_to_cart,2024-05-09
U00042,register,2024-09-13
U00042,app_open,2024-09-13
U00043,register,2024-03-08
U00043,app_open,2024-03-08
U00043,browse,2024-03-09
U00043,add_to_cart,2024-03-09
U00043,purchase,2024-03-11
U00044,register,2024-12-14
U00044,app_open,2024-12-14
U00045,register,2024-07-04
U00045,app_open,2024-07-04
U00045,browse,2024-07-04
U00046,register,2024-10-24
U00046,app_open,2024-10-24
U00046,browse,2024-10-24
U00047,register,2024-07-22
U00047,app_open,2024-07-22
U00047,browse,2024-07-23
U00048,register,2024-09-20
U00048,app_open,2024-09-20
U00048,browse,2024-09-20
U00049,register,2024-09-26
U00049,app_open,2024-09-26
U00050,register,2024-06-05
U00050,app_open,2024-06-05
U00050,browse,2024-06-06
U00051,register,2024-12-25
U00051,app_open,2024-12-25
U00051,browse,2024-12-25
U00052,register,2024-11-17
U00052,app_open,2024-11-17
U00052,browse,2024-11-17
U00053,register,2024-12-19
U00053,app_open,2024-12-19
U00053,browse,2024-12-20
U00054,register,2024-12-11
U00054,app_open,2024-12-11
U00054,browse,2024-12-11
U00055,register,2024-10-09
U00055,app_open,2024-10-09
U00055,browse,2024-10-09
U00056,register,2024-12-16
U00056,app_open,2024-12-16
U00056,browse,2024-12-16
U00056,add_to_cart,2024-12-18
U00056,purchase,2024-12-19
U00057,register,2024-04-18
U00057,browse,2024-04-18
U00058,register,2024-06-10
U00058,app_open,2024-06-10
U00059,register,2024-03-18
U00059,app_open,2024-03-18
U00059,browse,2024-03-18
U00059,add_to_cart,2024-03-20
U00059,purchase,2024-03-20
U00059,repurchase,2024-04-18
U00060,register,2024-07-27
U00060,app_open,2024-07-27
U00060,browse,2024-07-28
U00060,add_to_cart,2024-07-29
U00061,register,2024-08-15
U00061,browse,2024-08-16
U00062,register,2024-07-09
U00063,register,2024-11-28
U00063,app_open,2024-11-28
U00063,browse,2024-11-29
U00064,register,2024-08-06
U00064,app_open,2024-08-06
U00064,browse,2024-08-06
U00065,register,2024-07-12
U00065,app_open,2024-07-12
U00066,register,2024-09-25
U00066,app_open,2024-09-25
U00066,browse,2024-09-25
U00066,add_to_cart,2024-09-26
U00067,register,2024-05-17
U00067,app_open,2024-05-17
U00067,browse,2024-05-18
U00068,register,2024-11-22
U00068,app_open,2024-11-22
U00069,register,2024-04-09
U00069,app_open,2024-04-09
U00070,register,2024-12-28
U00070,app_open,2024-12-28
U00070,browse,2024-12-28
U00071,register,2024-11-16
U00071,app_open,2024-11-16
U00071,browse,2024-11-17
U00072,register,2024-06-11
U00072,app_open,2024-06-11
U00072,browse,2024-06-12
U00072,add_to_cart,2024-06-12
U00072,purchase,2024-06-12
U00072,share,2024-06-16
U00073,register,2024-01-28
U00073,browse,2024-01-28
U00074,register,2024-11-25
U00074,app_open,2024-11-25
U00074,browse,2024-11-25
U00074,add_to_cart,2024-11-26
U00075,register,2024-11-02
U00075,app_open,2024-11-02
U00075,browse,2024-11-02
U00076,register,2024-11-07
U00076,browse,2024-11-07
U00077,register,2024-11-16
U00077,app_open,2024-11-16
U00077,browse,2024-11-17
U00077,add_to_cart,2024-11-19
U00077,purchase,2024-11-19
U00078,register,2024-04-09
U00078,app_open,2024-04-09
U00078,browse,2024-04-09
U00078,add_to_cart,2024-04-11
U00079,register,2024-08-06
