user_id,register_date,channel,device,city_tier
U00001,2024-08-11,付费广告,iOS,二线
U00002,2024-12-21,付费广告,iOS,三线
U00003,2024-11-08,口碑推荐,iOS,三线
U00004,2024-10-09,付费广告,Android,一线
U00005,2024-05-24,口碑推荐,iOS,一线
U00006,2024-05-24,自然搜索,Android,一线
U00007,2024-03-28,口碑推荐,iOS,二线
U00008,2024-12-05,口碑推荐,Android,三线
U00009,2024-10-09,自然搜索,Android,二线
U00010,2024-11-03,付费广告,Android,一线
U00011,2024-02-22,自然搜索,Android,一线
U00012,2024-12-25,社交媒体,Android,一线
U00013,2024-11-29,付费广告,Android,四线及以下
U00014,2024-06-17,社交媒体,iOS,二线
U00015,2024-06-04,自然搜索,iOS,四线及以下
U00016,2024-06-05,自然搜索,iOS,四线及以下
U00017,2024-07-20,自然搜索,iOS,二线
U00018,2024-09-21,付费广告,iOS,三线
U00019,2024-08-27,社交媒体,iOS,一线
U00020,2024-07-15,口碑推荐,iOS,三线
U00021,2024-10-12,社交媒体,iOS,二线
U00022,2024-05-16,付费广告,iOS,四线及以下
U00023,2024-07-16,应用商店,Android,一线
U00024,2024-08-08,社交媒体,iOS,三线
U00025,2024-09-03,应用商店,Android,一线
U00026,2024-11-19,付费广告,iOS,四线及以下
U00027,2024-06-12,自然搜索,Android,二线
U00028,2024-09-18,自然搜索,Android,三线
U00029,2024-10-07,社交媒体,Android,二线
U00030,2024-03-19,自然搜索,Android,二线
U00031,2024-10-11,付费广告,iOS,三线
U00032,2024-05-30,付费广告,Android,四线及以下
U00033,2024-04-03,社交媒体,Android,一线
U00034,2024-12-21,社交媒体,Android,四线及以下
U00035,2024-12-24,自然搜索,Android,三线
U00036,2024-11-24,付费广告,iOS,四线及以下
U00037,2024-07-20,社交媒体,Android,二线
U00038,2024-04-24,应用商店,iOS,二线
U00039,2024-10-28,社交媒体,Android,四线及以下
U00040,2024-08-30,应用商店,iOS,二线
U00041,2024-05-07,口碑推荐,Android,二线
U00042,2024-09-13,社交媒体,iOS,一线
U00043,2024-03-08,自然搜索,iOS,一线
U00044,2024-12-14,社交媒体,Android,三线
U00045,2024-07-04,社交媒体,Android,三线
U00046,2024-10-24,社交媒体,Android,三线
U00047,2024-07-22,付费广告,iOS,一线
U00048,2024-09-20,付费广告,iOS,二线
U00049,2024-09-26,付费广告,Android,二线
U00050,2024-06-05,付费广告,Android,二线
U00051,2024-12-25,自然搜索,Android,四线及以下
U00052,2024-11-17,口碑推荐,iOS,三线
U00053,2024-12-19,自然搜索,Android,一线
U00054,2024-12-11,自然搜索,iOS,四线及以下
U00055,2024-10-09,付费广告,iOS,二线
U00056,2024-12-16,社交媒体,iOS,三线
U00057,2024-04-18,付费广告,iOS,一线
U00058,2024-06-10,自然搜索,Android,三线
U00059,2024-03-18,社交媒体,iOS,一线
U00060,2024-07-27,付费广告,iOS,二线
U00061,2024-08-15,应用商店,iOS,一线
U00062,2024-07-09,应用商店,iOS,一线
U00063,2024-11-28,付费广告,Android,一线
U00064,2024-08-06,付费广告,iOS,一线
U00065,2024-07-12,社交媒体,iOS,一线
U00066,2024-09-25,自然搜索,Android,三线
U00067,2024-05-17,付费广告,Android,一线
U00068,2024-11-22,付费广告,Android,三线
U00069,2024-04-09,应用商店,iOS,一线
U00070,2024-12-28,自然搜索,Android,四线及以下
U00071,2024-11-16,社交媒体,Android,四线及以下
U00072,2024-06-11,社交媒体,Android,一线
U00073,2024-01-28,付费广告,Android,三线
U00074,2024-11-25,自然搜索,iOS,一线
U00075,2024-11-02,应用商店,Android,四线及以下
U00076,2024-11-07,付费广告,iOS,二线
U00077,2024-11-16,社交媒体,iOS,一线
U00078,2024-04-09,自然搜索,iOS,二线
U00079,2024-08-06,付费广告,iOS,一线
U00080,2024-05-04,付费广告,Android,二线
U00081,2024-12-05,自然搜索,Android,三线
U00082,2024-10-15,自然搜索,Android,二线
U00083,2024-07-28,口碑推荐,Android,二线
U00084,2024-04-02,自然搜索,iOS,一线
U00085,2024-07-22,自然搜索,iOS,一线
U00086,2024-07-27,付费广告,Android,一线
U00087,2024-11-07,口碑推荐,Android,四线及以下
U00088,2024-10-18,自然搜索,iOS,一线
U00089,2024-12-09,社交媒体,Android,三线
U00090,2024-09-07,自然搜索,iOS,二线
U00091,2024-05-06,自然搜索,iOS,一线
U00092,2024-11-04,自然搜索,iOS,三线
U00093,2024-11-14,口碑推荐,iOS,二线
U00094,2024-09-30,自然搜索,Android,二线
U00095,2024-11-16,自然搜索,Android,三线
U00096,2024-09-13,付费广告,iOS,二线
U00097,2024-09-20,口碑推荐,Android,二线
U00098,2024-08-26,自然搜索,Android,三线
U00099,2024-02-28,付费广告,iOS,三线
U00100,2024-04-29,自然搜索,iOS,一线
U00101,2024-03-05,付费广告,Android,二线
U00102,2024-10-18,社交媒体,Android,一线
U00103,2024-07-23,社交媒体,Android,一线
U00104,2024-09-17,付费广告,iOS,三线
U00105,2024-12-13,付费广告,Android,四线及以下
U00106,2024-07-01,自然搜索,iOS,四线及以下
U00107,2024-08-21,付费广告,iOS,一线
U00108,2024-11-13,自然搜索,iOS,二线
U00109,2024-06-23,口碑推荐,iOS,三线
U00110,2024-04-11,应用商店,iOS,一线
U00111,2024-07-15,应用商店,iOS,三线
U00112,2024-05-26,口碑推荐,iOS,三线
U00113,2024-12-17,社交媒体,Android,四线及以下
U00114,2024-11-24,社交媒体,iOS,一线
U00115,2024-10-17,自然搜索,iOS,一线
U00116,2024-12-06,社交媒体,iOS,四线及以下
U00117,2024-11-23,付费广告,iOS,三线
U00118,2024-06-06,付费广告,Android,四线及以下
U00119,2024-12-10,口碑推荐,iOS,一线
U00120,2024-09-25,自然搜索,Android,三线
U00121,2024-11-23,付费广告,iOS,三线
U00122,2024-12-11,应用商店,iOS,一线
U00123,2024-07-24,自然搜索,Android,二线
U00124,2024-05-01,付费广告,Android,三线
U00125,2024-06-23,应用商店,iOS,一线
U00126,2024-08-26,社交媒体,Android,二线
U00127,2024-11-26,付费广告,iOS,三线
U00128,2024-12-04,自然搜索,Android,二线
U00129,2024-01-31,付费广告,Android,四线及以下
U00130,2024-09-17,口碑推荐,Android,二线
U00131,2024-08-23,社交媒体,Android,二线
U00132,2024-06-21,付费广告,iOS,四线及以下
U00133,2024-05-06,自然搜索,Android,四线及以下
U00134,2024-07-31,自然搜索,iOS,一线
U00135,2024-12-20,应用商店,iOS,三线
U00136,2024-07-26,付费广告,iOS,一线
U00137,2024-09-19,社交媒体,iOS,一线
U00138,2024-11-02,自然搜索,Android,二线
U00139,2024-08-08,社交媒体,Android,二线
U00140,2024-12-25,应用商店,Android,四线及以下
U00141,2024-12-24,社交媒体,iOS,三线
U00142,2024-07-02,自然搜索,iOS,四线及以下
U00143,2024-09-14,社交媒体,Android,三线
U00144,2024-07-19,口碑推荐,iOS,二线
U00145,2024-07-13,付费广告,Android,三线
U00146,2024-03-11,口碑推荐,Android,四线及以下
U00147,2024-10-11,社交媒体,Android,三线
U00148,2024-09-15,口碑推荐,iOS,三线
U00149,2024-03-23,社交媒体,Android,四线及以下
U00150,2024-07-11,自然搜索,iOS,一线
U00151,2024-12-13,付费广告,Android,三线
U00152,2024-06-27,自然搜索,iOS,四线及以下
U00153,2024-05-18,应用商店,iOS,四线及以下
U00154,2024-09-12,口碑推荐,iOS,一线
U00155,2024-12-28,社交媒体,Android,二线
U00156,2024-06-28,付费广告,iOS,三线
U00157,2024-10-26,自然搜索,iOS,一线
U00158,2024-11-14,口碑推荐,iOS,三线
U00159,2024-06-26,付费广告,Android,二线
U00160,2024-11-07,自然搜索,Android,二线
U00161,2024-08-09,社交媒体,Android,二线
U00162,2024-10-17,自然搜索,Android,二线
U00163,2024-10-17,付费广告,iOS,二线
U00164,2024-09-24,付费广告,iOS,二线
U00165,2024-04-19,自然搜索,Android,二线
U00166,2024-11-29,应用商店,iOS,一线
U00167,2024-07-25,自然搜索,iOS,一线
U00168,2024-06-06,自然搜索,iOS,一线
U00169,2024-03-14,自然搜索,iOS,三线
U00170,2024-10-07,口碑推荐,iOS,三线
U00171,2024-10-27,付费广告,iOS,一线
U00172,2024-02-17,社交媒体,iOS,一线
U00173,2024-09-18,自然搜索,iOS,三线
U00174,2024-06-22,自然搜索,iOS,二线
U00175,2024-10-20,付费广告,iOS,四线及以下
U00176,2024-06-01,口碑推荐,iOS,三线
U00177,2024-10-30,口碑推荐,Android,二线
U00178,2024-08-14,自然搜索,iOS,二线
U00179,2024-12-19,付费广告,Android,二线
U00180,2024-05-15,应用商店,Android,一线
U00181,2024-08-01,付费广告,Android,一线
U00182,2024-05-02,口碑推荐,iOS,一线
U00183,2024-12-16,自然搜索,iOS,三线
U00184,2024-12-07,应用商店,iOS,二线
U00185,2024-07-04,口碑推荐,Android,一线
U00186,2024-10-23,应用商店,iOS,三线
U00187,2024-11-25,社交媒体,Android,二线
U00188,2024-09-28,付费广告,Android,二线
U00189,2024-09-22,应用商店,iOS,一线
U00190,2024-06-28,自然搜索,iOS,三线
U00191,2024-04-21,付费广告,Android,四线及以下
U00192,2024-12-11,社交媒体,iOS,一线
U00193,2024-12-12,口碑推荐,iOS,二线
U00194,2024-10-17,应用商店,Android,一线
U00195,2024-07-31,自然搜索,iOS,一线
U00196,2024-08-03,口碑推荐,Android,二线
U00197,2024-11-06,社交媒体,Android,四线及以下
U00198,2024-12-11,自然搜索,Android,四线及以下
U00199,2024-12-09,付费广告,iOS,一线
U00200,2024-11-18,自然搜索,iOS,二线
U00201,2024-10-19,付费广告,iOS,三线
