month,new_users,estimated_cac,note
2023-01,314,9420.0,基于渠道成本估算
2023-02,343,10290.0,基于渠道成本估算
2023-03,328,9840.0,基于渠道成本估算
2023-04,326,9780.0,基于渠道成本估算
2023-05,327,9810.0,基于渠道成本估算
2023-06,363,10890.0,基于渠道成本估算
2023-07,320,9600.0,基于渠道成本估算
2023-08,348,10440.0,基于渠道成本估算
2023-09,322,9660.0,基于渠道成本估算
2023-10,327,9810.0,基于渠道成本估算
2023-11,348,10440.0,基于渠道成本估算
2023-12,334,10020.0,基于渠道成本估算
2024-01,346,10380.0,基于渠道成本估算
2024-02,336,10080.0,基于渠道成本估算
2024-03,318,9540.0,基于渠道成本估算
2024-04,311,9330.0,基于渠道成本估算
2024-05,335,10050.0,基于渠道成本估算
2024-06,334,10020.0,基于渠道成本估算
2024-07,314,9420.0,基于渠道成本估算
2024-08,333,9990.0,基于渠道成本估算
2024-09,369,11070.0,基于渠道成本估算
2024-10,354,10620.0,基于渠道成本估算
2024-11,342,10260.0,基于渠道成本估算
2024-12,308,9240.0,基于渠道成本估算
