category,country,order_count,total_revenue,avg_price
3C数码,印尼,1481,274108.94,185.08
3C数码,泰国,1613,469215.59,290.9
3C数码,菲律宾,959,148597.59,154.95
3C数码,越南,1723,236521.87,137.27
3C数码,马来西亚,964,232943.77,241.64
家居,印尼,1982,366654.78,184.99
家居,泰国,1322,391947.24,296.48
家居,菲律宾,704,110781.36,157.36
家居,越南,982,131309.45,133.72
家居,马来西亚,662,163947.6,247.65
服饰,印尼,1891,353393.63,186.88
服饰,泰国,2053,609659.56,296.96
服饰,菲律宾,1207,180456.99,149.51
服饰,越南,1349,175120.92,129.82
服饰,马来西亚,675,169493.34,251.1
美妆,印尼,2896,537460.62,185.59
美妆,泰国,2086,608700.16,291.8
美妆,菲律宾,1023,155000.96,151.52
美妆,越南,1353,182820.28,135.12
美妆,马来西亚,460,117570.62,255.59
食品,印尼,1402,259246.96,184.91
食品,泰国,1215,358324.89,294.92
食品,菲律宾,1008,153485.42,152.27
食品,越南,1408,183653.65,130.44
食品,马来西亚,497,119498.87,240.44
