cohort_month,activity_month,active_users,cohort_size,retention_rate
2023-01,2023-01,37,314,11.78
2023-01,2023-02,37,314,11.78
2023-01,2023-03,39,314,12.42
2023-01,2023-04,42,314,13.38
2023-01,2023-05,49,314,15.61
2023-01,2023-06,43,314,13.69
2023-01,2023-07,42,314,13.38
2023-01,2023-08,49,314,15.61
2023-01,2023-09,41,314,13.06
2023-01,2023-10,38,314,12.1
2023-01,2023-11,39,314,12.42
2023-01,2023-12,37,314,11.78
2023-01,2024-01,45,314,14.33
2023-01,2024-02,33,314,10.51
2023-01,2024-03,40,314,12.74
2023-01,2024-04,35,314,11.15
2023-01,2024-05,44,314,14.01
2023-01,2024-06,46,314,14.65
2023-01,2024-07,47,314,14.97
2023-01,2024-08,45,314,14.33
2023-01,2024-09,38,314,12.1
2023-01,2024-10,47,314,14.97
2023-01,2024-11,42,314,13.38
2023-01,2024-12,48,314,15.29
2023-02,2023-01,42,343,12.24
2023-02,2023-02,32,343,9.33
2023-02,2023-03,43,343,12.54
2023-02,2023-04,36,343,10.5
2023-02,2023-05,39,343,11.37
2023-02,2023-06,41,343,11.95
2023-02,2023-07,33,343,9.62
2023-02,2023-08,43,343,12.54
2023-02,2023-09,36,343,10.5
2023-02,2023-10,45,343,13.12
2023-02,2023-11,30,343,8.75
2023-02,2023-12,33,343,9.62
2023-02,2024-01,37,343,10.79
2023-02,2024-02,37,343,10.79
2023-02,2024-03,41,343,11.95
2023-02,2024-04,39,343,11.37
2023-02,2024-05,41,343,11.95
2023-02,2024-06,46,343,13.41
2023-02,2024-07,36,343,10.5
2023-02,2024-08,44,343,12.83
2023-02,2024-09,38,343,11.08
2023-02,2024-10,43,343,12.54
2023-02,2024-11,39,343,11.37
2023-02,2024-12,29,343,8.45
2023-03,2023-01,45,328,13.72
2023-03,2023-02,46,328,14.02
2023-03,2023-03,50,328,15.24
2023-03,2023-04,40,328,12.2
2023-03,2023-05,41,328,12.5
2023-03,2023-06,45,328,13.72
2023-03,2023-07,53,328,16.16
2023-03,2023-08,39,328,11.89
2023-03,2023-09,48,328,14.63
2023-03,2023-10,66,328,20.12
2023-03,2023-11,43,328,13.11
2023-03,2023-12,50,328,15.24
2023-03,2024-01,47,328,14.33
2023-03,2024-02,41,328,12.5
2023-03,2024-03,55,328,16.77
2023-03,2024-04,39,328,11.89
2023-03,2024-05,54,328,16.46
2023-03,2024-06,43,328,13.11
2023-03,2024-07,51,328,15.55
2023-03,2024-08,50,328,15.24
2023-03,2024-09,48,328,14.63
2023-03,2024-10,47,328,14.33
2023-03,2024-11,45,328,13.72
2023-03,2024-12,40,328,12.2
2023-04,2023-01,52,326,15.95
2023-04,2023-02,54,326,16.56
2023-04,2023-03,44,326,13.5
2023-04,2023-04,45,326,13.8
2023-04,2023-05,47,326,14.42
2023-04,2023-06,48,326,14.72
2023-04,2023-07,49,326,15.03
2023-04,2023-08,45,326,13.8
2023-04,2023-09,49,326,15.03
2023-04,2023-10,58,326,17.79
2023-04,2023-11,53,326,16.26
2023-04,2023-12,51,326,15.64
2023-04,2024-01,46,326,14.11
2023-04,2024-02,43,326,13.19
2023-04,2024-03,55,326,16.87
2023-04,2024-04,43,326,13.19
2023-04,2024-05,41,326,12.58
2023-04,2024-06,49,326,15.03
2023-04,2024-07,53,326,16.26
2023-04,2024-08,49,326,15.03
2023-04,2024-09,59,326,18.1
2023-04,2024-10,50,326,15.34
2023-04,2024-11,51,326,15.64
2023-04,2024-12,49,326,15.03
2023-05,2023-01,47,327,14.37
2023-05,2023-02,34,327,10.4
2023-05,2023-03,46,327,14.07
2023-05,2023-04,37,327,11.31
2023-05,2023-05,41,327,12.54
2023-05,2023-06,49,327,14.98
2023-05,2023-07,45,327,13.76
2023-05,2023-08,42,327,12.84
2023-05,2023-09,49,327,14.98
2023-05,2023-10,51,327,15.6
2023-05,2023-11,37,327,11.31
2023-05,2023-12,43,327,13.15
2023-05,2024-01,40,327,12.23
2023-05,2024-02,39,327,11.93
2023-05,2024-03,37,327,11.31
2023-05,2024-04,35,327,10.7
2023-05,2024-05,45,327,13.76
2023-05,2024-06,41,327,12.54
2023-05,2024-07,39,327,11.93
2023-05,2024-08,48,327,14.68
2023-05,2024-09,38,327,11.62
2023-05,2024-10,41,327,12.54
2023-05,2024-11,29,327,8.87
2023-05,2024-12,40,327,12.23
2023-06,2023-01,47,363,12.95
2023-06,2023-02,36,363,9.92
2023-06,2023-03,45,363,12.4
2023-06,2023-04,52,363,14.33
2023-06,2023-05,44,363,12.12
2023-06,2023-06,44,363,12.12
2023-06,2023-07,50,363,13.77
2023-06,2023-08,37,363,10.19
2023-06,2023-09,44,363,12.12
2023-06,2023-10,51,363,14.05
2023-06,2023-11,46,363,12.67
2023-06,2023-12,38,363,10.47
2023-06,2024-01,46,363,12.67
2023-06,2024-02,45,363,12.4
2023-06,2024-03,35,363,9.64
2023-06,2024-04,48,363,13.22
2023-06,2024-05,46,363,12.67
2023-06,2024-06,45,363,12.4
