country,category,avg_rating,total_feedback,promoters,detractors,nps
马来西亚,服饰,3.856287425149701,167,67,22,26.95
泰国,食品,3.9203980099502487,402,159,52,26.62
菲律宾,服饰,3.871559633027523,218,84,30,24.77
印尼,3C数码,3.8920086393088553,463,173,60,24.41
越南,食品,3.8545454545454545,330,117,38,23.94
印尼,食品,3.8480725623582765,441,158,53,23.81
泰国,服饰,3.818401937046005,413,157,62,23.0
马来西亚,3C数码,3.8194444444444446,144,53,20,22.92
菲律宾,食品,3.887550200803213,249,89,32,22.89
越南,家居,3.8157894736842106,342,125,49,22.22
泰国,3C数码,3.8625954198473282,393,138,55,21.12
泰国,美妆,3.7929411764705883,425,147,61,20.24
印尼,服饰,3.767337807606264,447,151,65,19.24
菲律宾,美妆,3.7719298245614037,228,76,33,18.86
越南,美妆,3.784776902887139,381,127,56,18.64
印尼,美妆,3.748235294117647,425,150,72,18.35
越南,3C数码,3.7657142857142856,350,124,61,18.0
菲律宾,家居,3.717948717948718,234,79,37,17.95
马来西亚,美妆,3.7928571428571427,140,43,18,17.86
越南,服饰,3.7668539325842696,356,116,55,17.13
马来西亚,家居,3.7333333333333334,165,57,29,16.97
泰国,家居,3.7464788732394365,426,134,64,16.43
印尼,家居,3.7661469933184857,449,139,66,16.26
马来西亚,食品,3.694610778443114,167,53,31,13.17
菲律宾,3C数码,3.710204081632653,245,75,43,13.06
