channel,country,cac,ltv,ltv_cac_ratio,user_count
自然搜索,泰国,6,2185.04,364.17,511
自然搜索,马来西亚,8,1991.75,248.97,186
自然搜索,菲律宾,4,773.4,193.35,303
自然搜索,越南,5,932.93,186.59,437
自然搜索,印尼,7,1281.02,183.0,577
内容营销,菲律宾,8,1002.99,125.37,170
KOL推荐,泰国,18,2135.38,118.63,216
内容营销,马来西亚,18,2029.2,112.73,119
内容营销,越南,10,998.27,99.83,292
内容营销,泰国,15,1492.8,99.52,301
KOL推荐,越南,12,1159.5,96.63,161
KOL推荐,菲律宾,10,940.34,94.03,124
社交媒体,泰国,30,2469.44,82.31,374
内容营销,印尼,12,958.41,79.87,327
KOL推荐,印尼,15,1169.0,77.93,220
社交媒体,印尼,25,1678.0,67.12,405
付费广告,菲律宾,22,1329.71,60.44,333
社交媒体,菲律宾,18,1068.44,59.36,244
KOL推荐,马来西亚,22,1185.47,53.88,86
付费广告,印尼,30,1451.85,48.39,696
付费广告,泰国,40,1873.82,46.85,657
社交媒体,越南,20,758.52,37.93,348
付费广告,马来西亚,45,1697.7,37.73,235
社交媒体,马来西亚,35,1312.19,37.49,157
付费广告,越南,25,801.25,32.05,521
