month,active_users,order_count,revenue,arpu,avg_order_value
2023-01,1053,1406,290011.4,275.41,206.27
2023-02,1004,1275,258267.83,257.24,202.56
2023-03,1125,1467,295133.85,262.34,201.18
2023-04,1043,1348,279645.95,268.12,207.45
2023-05,1096,1425,295272.5,269.41,207.21
2023-06,1041,1361,273598.16,262.82,201.03
2023-07,1080,1379,280700.36,259.91,203.55
2023-08,1026,1337,275199.56,268.23,205.83
2023-09,1050,1371,284056.06,270.53,207.19
2023-10,1150,1486,296884.11,258.16,199.79
2023-11,1028,1267,242648.33,236.04,191.51
2023-12,1033,1378,288518.05,279.3,209.37
2024-01,1072,1390,279024.46,260.28,200.74
2024-02,1012,1286,255627.66,252.6,198.78
2024-03,1080,1382,283087.73,262.12,204.84
2024-04,1066,1374,282298.45,264.82,205.46
2024-05,1102,1406,281746.42,255.67,200.39
2024-06,1051,1328,269946.56,256.85,203.27
2024-07,1080,1343,274339.88,254.02,204.27
2024-08,1108,1415,286131.45,258.24,202.21
2024-09,1064,1382,286700.77,269.46,207.45
2024-10,1042,1356,273893.46,262.85,201.99
2024-11,1049,1369,285640.83,272.3,208.65
2024-12,1087,1384,271541.23,249.81,196.2
