country,category,total_users_in_group,repurchase_count,repurchase_rate
印尼,美妆,978,2512,256.85
马来西亚,3C数码,370,819,221.35
泰国,美妆,812,1754,216.01
泰国,服饰,823,1758,213.61
越南,3C数码,688,1465,212.94
菲律宾,服饰,494,1020,206.48
马来西亚,服饰,284,578,203.52
印尼,服饰,806,1629,202.11
印尼,家居,840,1695,201.79
菲律宾,美妆,441,879,199.32
菲律宾,3C数码,416,829,199.28
泰国,3C数码,719,1400,194.71
马来西亚,家居,295,563,190.85
菲律宾,食品,447,853,190.83
越南,美妆,623,1162,186.52
越南,食品,650,1202,184.92
印尼,3C数码,715,1285,179.72
越南,服饰,646,1140,176.47
泰国,家居,650,1137,174.92
印尼,食品,690,1206,174.78
菲律宾,家居,351,604,172.08
马来西亚,食品,255,423,165.88
泰国,食品,631,1040,164.82
马来西亚,美妆,250,399,159.6
越南,家居,524,823,157.06
