user_id,country,channel,recency,frequency,monetary,r_score,f_score,m_score,segment
U00100,泰国,KOL推荐,5.0,48,28960.7,3,5,5,一般挽留用户
U03297,泰国,自然搜索,13.0,47,27497.19,3,5,5,一般挽留用户
U05675,泰国,社交媒体,44.0,48,27474.3,3,5,5,一般挽留用户
U07007,泰国,社交媒体,8.0,47,27278.93,3,5,5,一般挽留用户
U06297,泰国,自然搜索,2.0,47,26888.9,3,5,5,一般挽留用户
U07029,泰国,付费广告,8.0,50,26754.13,3,5,5,一般挽留用户
U00099,泰国,社交媒体,16.0,47,26343.67,3,5,5,一般挽留用户
U03723,泰国,社交媒体,45.0,46,26307.8,3,5,5,一般挽留用户
U00515,泰国,付费广告,21.0,48,26150.27,3,5,5,一般挽留用户
U03050,泰国,自然搜索,33.0,45,25809.84,3,5,5,一般挽留用户
U07502,泰国,付费广告,11.0,49,25809.12,3,5,5,一般挽留用户
U07097,泰国,社交媒体,7.0,45,25739.38,3,5,5,一般挽留用户
U00497,泰国,社交媒体,1.0,46,25149.76,3,5,5,一般挽留用户
U07291,泰国,KOL推荐,27.0,45,24724.98,3,5,5,一般挽留用户
U00043,马来西亚,社交媒体,14.0,48,24596.0,3,5,5,一般挽留用户
U06560,泰国,社交媒体,31.0,43,24243.65,3,5,5,一般挽留用户
U04438,马来西亚,自然搜索,17.0,48,23994.43,3,5,5,一般挽留用户
U01011,马来西亚,付费广告,32.0,49,23840.8,3,5,5,一般挽留用户
U05122,泰国,自然搜索,14.0,44,23797.16,3,5,5,一般挽留用户
U02284,泰国,自然搜索,14.0,40,23749.81,3,5,5,一般挽留用户
U06564,泰国,付费广告,12.0,40,23445.93,3,5,5,一般挽留用户
U07795,泰国,自然搜索,9.0,42,23398.46,3,5,5,一般挽留用户
U00701,泰国,KOL推荐,23.0,39,22865.52,3,5,5,一般挽留用户
U05762,马来西亚,自然搜索,15.0,46,22046.56,3,5,5,一般挽留用户
U02081,泰国,社交媒体,9.0,38,21891.71,3,5,5,一般挽留用户
U07357,马来西亚,内容营销,36.0,42,21609.83,3,5,5,一般挽留用户
U05951,泰国,KOL推荐,6.0,38,21129.9,3,5,5,一般挽留用户
U01231,泰国,自然搜索,114.0,37,20550.41,2,5,5,重要保持用户
U05761,马来西亚,付费广告,19.0,41,19884.26,3,5,5,一般挽留用户
U04920,马来西亚,内容营销,2.0,38,19026.44,3,5,5,一般挽留用户
U04419,泰国,付费广告,59.0,34,19026.38,2,5,5,重要保持用户
U03924,马来西亚,付费广告,101.0,38,18905.78,2,5,5,重要保持用户
U04245,马来西亚,自然搜索,2.0,40,18822.52,3,5,5,一般挽留用户
U05909,泰国,自然搜索,26.0,34,18813.19,3,5,5,一般挽留用户
U05387,马来西亚,自然搜索,26.0,38,18380.45,3,5,5,一般挽留用户
U06912,泰国,社交媒体,14.0,31,18235.71,3,5,5,一般挽留用户
U05967,泰国,内容营销,18.0,32,18141.35,3,5,5,一般挽留用户
U05634,泰国,社交媒体,3.0,33,18087.05,3,5,5,一般挽留用户
U05867,泰国,付费广告,9.0,32,17970.4,3,5,5,一般挽留用户
U00181,泰国,自然搜索,93.0,31,17507.18,2,5,5,重要保持用户
U07869,泰国,付费广告,8.0,30,17336.98,3,5,5,一般挽留用户
U02706,泰国,社交媒体,12.0,30,17192.59,3,5,5,一般挽留用户
U00334,泰国,KOL推荐,1.0,33,17130.32,3,5,5,一般挽留用户
U03121,泰国,自然搜索,16.0,31,16952.7,3,5,5,一般挽留用户
U07798,泰国,自然搜索,6.0,30,16875.63,3,5,5,一般挽留用户
U01364,印尼,付费广告,5.0,50,16835.01,3,5,5,一般挽留用户
U01577,印尼,社交媒体,3.0,48,16783.65,3,5,5,一般挽留用户
U07721,马来西亚,自然搜索,53.0,35,16680.49,2,5,5,重要保持用户
U01458,泰国,社交媒体,62.0,29,16601.75,2,5,5,重要保持用户
U07953,泰国,付费广告,34.0,27,16567.88,3,5,5,一般挽留用户
U06684,印尼,KOL推荐,1.0,47,16388.54,3,5,5,一般挽留用户
U01609,印尼,社交媒体,9.0,48,16351.87,3,5,5,一般挽留用户
U02609,泰国,内容营销,61.0,29,16197.83,2,5,5,重要保持用户
U03147,印尼,付费广告,6.0,48,16112.31,3,5,5,一般挽留用户
U05012,印尼,社交媒体,9.0,49,16091.15,3,5,5,一般挽留用户
U03812,泰国,自然搜索,45.0,29,15931.19,3,5,5,一般挽留用户
U00047,印尼,自然搜索,12.0,47,15719.32,3,5,5,一般挽留用户
U01831,印尼,内容营销,11.0,47,15669.67,3,5,5,一般挽留用户
U00757,印尼,付费广告,13.0,47,15541.46,3,5,5,一般挽留用户
U07509,马来西亚,自然搜索,2.0,33,15374.46,3,5,5,一般挽留用户
U02822,印尼,内容营销,8.0,45,15332.7,3,5,5,一般挽留用户
U04557,印尼,社交媒体,6.0,46,15216.98,3,5,5,一般挽留用户
U07151,泰国,内容营销,19.0,26,15205.48,3,5,5,一般挽留用户
U06784,印尼,付费广告,11.0,43,15086.12,3,5,5,一般挽留用户
U07024,印尼,自然搜索,18.0,45,15071.95,3,5,5,一般挽留用户
U03557,印尼,KOL推荐,31.0,44,15005.19,3,5,5,一般挽留用户
U07600,印尼,付费广告,5.0,43,14920.71,3,5,5,一般挽留用户
U04336,印尼,自然搜索,12.0,43,14790.39,3,5,5,一般挽留用户
U01245,印尼,内容营销,1.0,43,14629.12,3,5,5,一般挽留用户
U03971,印尼,付费广告,35.0,45,14620.36,3,5,5,一般挽留用户
U03928,印尼,付费广告,47.0,43,14615.35,3,5,5,一般挽留用户
U01451,印尼,社交媒体,6.0,43,14599.84,3,5,5,一般挽留用户
U00742,印尼,付费广告,10.0,44,14594.21,3,5,5,一般挽留用户
U06210,印尼,自然搜索,49.0,42,14334.19,3,5,5,一般挽留用户
U04678,印尼,社交媒体,13.0,43,14316.78,3,5,5,一般挽留用户
U05654,泰国,社交媒体,25.0,25,14270.38,3,5,5,一般挽留用户
U05039,马来西亚,KOL推荐,51.0,27,14193.62,2,5,5,重要保持用户
U03126,印尼,KOL推荐,8.0,43,14064.09,3,5,5,一般挽留用户
U05046,印尼,自然搜索,8.0,42,13993.47,3,5,5,一般挽留用户
U04152,印尼,自然搜索,65.0,40,13943.9,2,5,5,重要保持用户
U07895,菲律宾,付费广告,27.0,49,13894.12,3,5,5,一般挽留用户
U00851,印尼,付费广告,16.0,41,13832.52,3,5,5,一般挽留用户
U07104,越南,内容营销,17.0,50,13747.85,3,5,5,一般挽留用户
U03201,印尼,付费广告,59.0,39,13525.13,2,5,5,重要保持用户
U00339,泰国,KOL推荐,6.0,23,13506.29,3,5,5,一般挽留用户
