user_id,order_id,order_date,order_amount,category,country,is_first_order
U00000,ORD000001,2023-12-22,49.19,服饰,越南,0
U00001,ORD000002,2024-07-26,112.69,3C数码,马来西亚,0
U00001,ORD000003,2024-07-12,156.59,美妆,马来西亚,0
U00001,ORD000004,2024-12-07,116.1,食品,马来西亚,0
U00001,ORD000005,2024-01-04,116.21,3C数码,马来西亚,0
U00001,ORD000006,2024-04-19,137.93,家居,马来西亚,0
U00001,ORD000007,2024-11-14,189.15,食品,马来西亚,0
U00001,ORD000008,2023-04-13,155.46,服饰,马来西亚,0
U00001,ORD000009,2024-11-09,215.4,服饰,马来西亚,0
U00001,ORD000010,2024-08-16,184.14,3C数码,马来西亚,0
U00001,ORD000011,2024-07-07,181.88,服饰,马来西亚,0
U00003,ORD000012,2024-05-23,71.08,家居,印尼,1
U00003,ORD000013,2024-03-02,69.99,家居,印尼,0
U00003,ORD000014,2023-09-25,68.21,美妆,印尼,0
U00003,ORD000015,2023-03-21,72.23,美妆,印尼,0
U00004,ORD000016,2023-06-28,109.59,食品,泰国,0
U00004,ORD000017,2024-04-29,88.49,美妆,泰国,0
U00005,ORD000018,2023-04-03,114.48,美妆,泰国,0
U00005,ORD000019,2023-05-18,121.79,食品,泰国,0
U00006,ORD000020,2023-12-08,103.5,3C数码,泰国,0
U00006,ORD000021,2024-01-22,123.01,服饰,泰国,0
U00006,ORD000022,2023-08-25,113.12,3C数码,泰国,0
U00009,ORD000023,2023-03-08,133.96,家居,印尼,0
U00009,ORD000024,2024-05-13,128.81,3C数码,印尼,0
U00009,ORD000025,2023-06-10,136.15,美妆,印尼,0
U00009,ORD000026,2024-03-10,117.51,美妆,印尼,0
U00009,ORD000027,2023-06-20,97.4,家居,印尼,0
U00009,ORD000028,2023-01-03,79.28,美妆,印尼,0
U00009,ORD000029,2023-01-24,124.07,服饰,印尼,0
U00009,ORD000030,2024-07-18,132.39,美妆,印尼,0
U00009,ORD000031,2023-10-11,104.79,食品,印尼,1
U00010,ORD000032,2024-05-30,139.57,服饰,泰国,0
U00010,ORD000033,2023-01-03,147.37,服饰,泰国,0
U00011,ORD000034,2023-12-22,151.03,服饰,马来西亚,0
U00011,ORD000035,2024-10-14,155.8,食品,马来西亚,0
U00011,ORD000036,2023-08-30,121.55,3C数码,马来西亚,0
U00011,ORD000037,2023-08-03,136.17,食品,马来西亚,0
U00011,ORD000038,2023-12-25,172.73,食品,马来西亚,0
U00011,ORD000039,2023-07-07,119.31,美妆,马来西亚,0
U00011,ORD000040,2023-04-10,209.67,3C数码,马来西亚,0
U00012,ORD000041,2024-08-13,55.6,3C数码,菲律宾,0
U00013,ORD000042,2024-02-18,146.02,家居,泰国,0
U00013,ORD000043,2024-06-20,147.43,美妆,泰国,0
U00014,ORD000044,2024-06-14,364.06,服饰,泰国,0
U00014,ORD000045,2023-06-13,292.25,美妆,泰国,0
U00014,ORD000046,2023-10-12,204.95,服饰,泰国,0
U00014,ORD000047,2023-01-13,298.02,3C数码,泰国,0
U00014,ORD000048,2023-04-23,308.85,美妆,泰国,0
U00014,ORD000049,2024-02-28,278.88,3C数码,泰国,0
U00014,ORD000050,2023-07-15,255.88,食品,泰国,0
U00014,ORD000051,2024-12-04,224.28,食品,泰国,0
U00014,ORD000052,2023-09-18,209.44,家居,泰国,0
U00014,ORD000053,2023-05-03,300.27,3C数码,泰国,0
U00014,ORD000054,2023-02-08,256.67,食品,泰国,0
U00014,ORD000055,2024-12-10,233.14,家居,泰国,0
U00014,ORD000056,2023-01-31,300.46,美妆,泰国,0
U00014,ORD000057,2024-09-13,261.23,3C数码,泰国,0
U00014,ORD000058,2024-11-29,345.15,食品,泰国,0
U00016,ORD000059,2023-10-16,72.92,3C数码,越南,0
U00016,ORD000060,2023-05-06,103.66,3C数码,越南,0
U00016,ORD000061,2023-11-19,62.93,食品,越南,0
U00018,ORD000062,2023-11-27,86.69,3C数码,越南,0
U00018,ORD000063,2024-06-03,62.43,家居,越南,0
U00018,ORD000064,2023-10-04,62.7,3C数码,越南,0
U00020,ORD000065,2023-03-09,73.6,家居,印尼,0
U00020,ORD000066,2024-06-09,70.22,美妆,印尼,0
U00020,ORD000067,2023-09-09,88.74,3C数码,印尼,0
U00021,ORD000068,2024-11-28,670.3,家居,泰国,1
U00021,ORD000069,2023-11-25,500.47,服饰,泰国,0
U00021,ORD000070,2023-05-13,428.88,美妆,泰国,1
U00021,ORD000071,2024-07-25,698.76,家居,泰国,0
U00021,ORD000072,2024-10-23,495.81,3C数码,泰国,0
U00021,ORD000073,2023-04-25,504.01,美妆,泰国,0
U00021,ORD000074,2024-12-11,683.92,美妆,泰国,0
U00021,ORD000075,2024-12-23,589.54,美妆,泰国,0
U00021,ORD000076,2024-11-28,736.99,美妆,泰国,0
U00021,ORD000077,2024-02-17,392.66,食品,泰国,0
U00021,ORD000078,2024-04-16,576.22,家居,泰国,0
U00021,ORD000079,2024-03-19,711.43,家居,泰国,0
U00021,ORD000080,2024-10-13,400.09,3C数码,泰国,0
