user_id,event_type,event_date,page_id,duration_seconds
U00000,register,2024-12-21,page_059,9
U00000,app_open,2024-12-21,page_075,31
U00001,register,2023-01-20,page_031,17
U00001,app_open,2023-01-20,page_019,23
U00001,browse,2023-01-20,page_004,163
U00002,register,2023-03-13,page_054,20
U00002,app_open,2023-03-13,page_075,29
U00002,browse,2023-03-13,page_091,217
U00002,share,2023-03-22,page_064,20
U00003,register,2023-07-06,page_085,29
U00003,app_open,2023-07-06,page_018,34
U00004,register,2023-06-02,page_094,18
U00004,app_open,2023-06-02,page_049,21
U00005,register,2024-04-06,page_041,13
U00006,register,2023-08-21,page_004,16
U00006,app_open,2023-08-21,page_059,58
U00006,browse,2023-08-21,page_042,148
U00007,register,2023-11-18,page_072,7
U00007,app_open,2023-11-18,page_027,30
U00007,browse,2023-11-18,page_037,89
U00007,share,2023-12-07,page_056,23
U00008,register,2024-11-06,page_016,10
U00008,app_open,2024-11-06,page_052,43
U00008,browse,2024-11-06,page_077,73
U00009,register,2024-02-15,page_098,11
U00009,app_open,2024-02-15,page_092,12
U00009,browse,2024-02-15,page_025,159
U00010,register,2023-11-27,page_002,29
U00010,app_open,2023-11-27,page_051,10
U00010,browse,2023-11-27,page_017,203
U00011,register,2024-03-13,page_090,18
U00011,app_open,2024-03-13,page_087,36
U00011,browse,2024-03-13,page_082,286
U00012,register,2023-06-04,page_007,16
U00013,register,2024-02-13,page_079,24
U00013,app_open,2024-02-13,page_099,47
U00013,browse,2024-02-13,page_062,157
U00013,add_to_cart,2024-02-13,page_093,82
U00014,register,2023-10-25,page_056,22
U00014,app_open,2023-10-25,page_084,47
U00014,browse,2023-10-25,page_093,45
U00014,add_to_cart,2023-10-25,page_033,119
U00015,register,2024-10-12,page_019,22
U00016,register,2024-12-08,page_079,15
U00017,register,2024-08-05,page_057,17
U00017,app_open,2024-08-05,page_045,23
U00018,register,2023-02-20,page_030,19
U00018,app_open,2023-02-20,page_048,55
U00019,register,2023-12-06,page_075,17
U00020,register,2024-03-18,page_087,13
U00021,register,2024-06-10,page_095,24
U00021,app_open,2024-06-10,page_057,53
U00021,browse,2024-06-10,page_054,100
U00021,share,2024-06-30,page_028,13
U00022,register,2023-07-10,page_090,13
U00022,app_open,2023-07-10,page_011,12
U00022,browse,2023-07-10,page_064,236
U00023,register,2023-05-16,page_044,20
U00024,register,2024-07-03,page_064,22
U00024,app_open,2024-07-03,page_080,53
U00025,register,2023-07-19,page_088,13
U00025,app_open,2023-07-19,page_014,55
U00025,browse,2023-07-19,page_059,144
U00026,register,2023-12-10,page_019,16
U00026,app_open,2023-12-10,page_053,35
U00026,browse,2023-12-10,page_052,140
U00026,share,2024-01-03,page_045,17
U00027,register,2023-05-02,page_040,24
U00028,register,2023-03-14,page_057,7
U00028,app_open,2023-03-14,page_005,26
U00029,register,2024-03-20,page_082,15
U00029,app_open,2024-03-20,page_085,56
U00029,browse,2024-03-20,page_082,227
U00029,add_to_cart,2024-03-20,page_032,18
U00030,register,2024-01-17,page_035,24
U00031,register,2024-08-04,page_033,18
U00031,app_open,2024-08-04,page_010,21
U00031,browse,2024-08-04,page_052,270
U00032,register,2024-07-26,page_051,24
U00032,app_open,2024-07-26,page_036,39
U00032,browse,2024-07-26,page_093,240
U00032,add_to_cart,2024-07-26,page_090,39
U00033,register,2024-03-15,page_069,28
U00033,app_open,2024-03-15,page_032,50
U00034,register,2023-09-03,page_004,11
U00034,app_open,2023-09-03,page_043,40
U00034,browse,2023-09-03,page_067,186
U00035,register,2023-02-07,page_002,23
U00035,app_open,2023-02-07,page_061,31
U00036,register,2023-09-22,page_050,22
U00036,app_open,2023-09-22,page_091,42
U00036,browse,2023-09-22,page_088,252
U00037,register,2023-05-17,page_077,6
U00037,app_open,2023-05-17,page_015,27
U00038,register,2023-03-09,page_030,18
U00038,app_open,2023-03-09,page_001,14
U00038,browse,2023-03-09,page_036,149
