user_id,order_id,rating,feedback_text,feedback_date,category
U00000,FB000001,2,不太满意，需要改善。,2023-02-10,美妆
U00001,FB000002,3,一般般，有待改进。,2023-03-01,家居
U00002,FB000003,5,非常满意，产品很好用！,2024-01-30,美妆
U00003,FB000004,3,一般般，有待改进。,2023-11-01,家居
U00004,FB000005,5,非常满意，产品很好用！,2024-02-27,家居
U00005,FB000006,4,还不错，基本满意。,2023-06-19,3C数码
U00006,FB000007,5,非常满意，产品很好用！,2024-06-07,3C数码
U00007,FB000008,4,还不错，基本满意。,2023-05-23,服饰
U00008,FB000009,3,一般般，有待改进。,2023-10-30,食品
U00009,FB000010,5,非常满意，产品很好用！,2023-08-05,3C数码
U00010,FB000011,3,一般般，有待改进。,2024-02-13,家居
U00011,FB000012,3,一般般，有待改进。,2024-03-31,服饰
U00012,FB000013,3,一般般，有待改进。,2023-10-22,服饰
U00013,FB000014,5,非常满意，产品很好用！,2024-08-17,美妆
U00014,FB000015,3,一般般，有待改进。,2023-08-29,服饰
U00015,FB000016,4,还不错，基本满意。,2023-12-04,美妆
U00016,FB000017,4,还不错，基本满意。,2024-02-06,服饰
U00017,FB000018,4,还不错，基本满意。,2023-12-30,3C数码
U00018,FB000019,3,一般般，有待改进。,2024-01-17,美妆
U00019,FB000020,3,一般般，有待改进。,2024-04-29,3C数码
U00020,FB000021,4,还不错，基本满意。,2024-01-13,服饰
U00021,FB000022,2,不太满意，需要改善。,2023-08-03,食品
U00022,FB000023,2,不太满意，需要改善。,2023-11-16,家居
U00023,FB000024,3,一般般，有待改进。,2024-01-06,食品
U00024,FB000025,5,非常满意，产品很好用！,2023-09-20,服饰
U00025,FB000026,5,非常满意，产品很好用！,2024-03-02,美妆
U00026,FB000027,5,非常满意，产品很好用！,2024-10-31,服饰
U00027,FB000028,2,不太满意，需要改善。,2024-09-21,家居
U00028,FB000029,5,非常满意，产品很好用！,2023-02-21,3C数码
U00029,FB000030,4,还不错，基本满意。,2024-11-02,3C数码
U00030,FB000031,3,一般般，有待改进。,2024-06-02,服饰
U00031,FB000032,5,非常满意，产品很好用！,2023-09-19,美妆
U00032,FB000033,5,非常满意，产品很好用！,2023-08-05,家居
U00033,FB000034,5,非常满意，产品很好用！,2023-02-22,服饰
U00034,FB000035,5,非常满意，产品很好用！,2023-02-28,食品
U00035,FB000036,3,一般般，有待改进。,2023-11-25,3C数码
U00036,FB000037,4,还不错，基本满意。,2023-07-28,食品
U00037,FB000038,3,一般般，有待改进。,2024-02-20,服饰
U00038,FB000039,3,一般般，有待改进。,2023-02-24,服饰
U00039,FB000040,4,还不错，基本满意。,2023-11-22,食品
U00040,FB000041,2,不太满意，需要改善。,2023-11-25,美妆
U00041,FB000042,5,非常满意，产品很好用！,2024-05-31,美妆
U00042,FB000043,5,非常满意，产品很好用！,2023-07-10,家居
U00043,FB000044,4,还不错，基本满意。,2023-07-19,美妆
U00044,FB000045,5,非常满意，产品很好用！,2024-04-22,美妆
U00045,FB000046,5,非常满意，产品很好用！,2024-04-30,家居
U00046,FB000047,4,还不错，基本满意。,2023-03-29,美妆
U00047,FB000048,3,一般般，有待改进。,2024-04-15,3C数码
U00048,FB000049,2,不太满意，需要改善。,2023-12-11,3C数码
U00049,FB000050,4,还不错，基本满意。,2023-02-27,食品
U00050,FB000051,2,不太满意，需要改善。,2024-08-29,服饰
U00051,FB000052,3,一般般，有待改进。,2023-02-19,食品
U00052,FB000053,5,非常满意，产品很好用！,2024-03-14,服饰
U00053,FB000054,4,还不错，基本满意。,2024-02-03,食品
U00054,FB000055,1,非常不满意，体验很差。,2024-09-02,美妆
