user_id,register_date,country,channel,device,age_group,gender
U00000,2024-12-21,越南,社交媒体,iOS,35-44,男
U00001,2023-01-20,马来西亚,社交媒体,iOS,25-34,男
U00002,2023-03-13,印尼,自然搜索,Android,18-24,男
U00003,2023-07-06,印尼,内容营销,iOS,45+,女
U00004,2023-06-02,泰国,社交媒体,Android,45+,女
U00005,2024-04-06,泰国,付费广告,iOS,25-34,男
U00006,2023-08-21,泰国,KOL推荐,Android,25-34,女
U00007,2023-11-18,菲律宾,付费广告,iOS,25-34,女
U00008,2024-11-06,印尼,社交媒体,Android,25-34,女
U00009,2024-02-15,印尼,自然搜索,iOS,18-24,女
U00010,2023-11-27,泰国,KOL推荐,iOS,25-34,男
U00011,2024-03-13,马来西亚,付费广告,iOS,35-44,男
U00012,2023-06-04,菲律宾,社交媒体,iOS,18-24,男
U00013,2024-02-13,泰国,自然搜索,Android,25-34,女
U00014,2023-10-25,泰国,社交媒体,iOS,35-44,女
U00015,2024-10-12,泰国,KOL推荐,Android,18-24,男
U00016,2024-12-08,越南,付费广告,Android,18-24,女
U00017,2024-08-05,印尼,社交媒体,Android,35-44,女
U00018,2023-02-20,越南,付费广告,Android,18-24,女
U00019,2023-12-06,越南,内容营销,Android,18-24,男
U00020,2024-03-18,印尼,付费广告,Android,25-34,男
U00021,2024-06-10,泰国,KOL推荐,Android,25-34,男
U00022,2023-07-10,越南,KOL推荐,iOS,35-44,男
U00023,2023-05-16,越南,付费广告,iOS,25-34,女
U00024,2024-07-03,越南,自然搜索,Android,25-34,男
U00025,2023-07-19,菲律宾,付费广告,Android,25-34,女
U00026,2023-12-10,泰国,KOL推荐,Android,45+,男
U00027,2023-05-02,印尼,自然搜索,Android,18-24,男
U00028,2023-03-14,印尼,付费广告,iOS,18-24,女
U00029,2024-03-20,泰国,KOL推荐,Android,45+,女
U00030,2024-01-17,印尼,付费广告,Android,45+,男
U00031,2024-08-04,泰国,社交媒体,iOS,18-24,女
U00032,2024-07-26,泰国,自然搜索,Android,18-24,女
U00033,2024-03-15,马来西亚,自然搜索,iOS,25-34,男
U00034,2023-09-03,马来西亚,KOL推荐,Android,18-24,女
U00035,2023-02-07,菲律宾,自然搜索,Android,35-44,男
U00036,2023-09-22,越南,付费广告,iOS,18-24,男
U00037,2023-05-17,泰国,内容营销,Android,18-24,女
U00038,2023-03-09,印尼,付费广告,Android,25-34,男
U00039,2023-08-09,越南,内容营销,iOS,45+,男
U00040,2024-12-17,泰国,内容营销,iOS,25-34,男
U00041,2024-12-08,印尼,付费广告,Android,25-34,女
U00042,2024-09-14,泰国,自然搜索,iOS,45+,女
U00043,2024-10-16,马来西亚,社交媒体,Android,25-34,男
U00044,2024-06-17,越南,付费广告,iOS,25-34,女
U00045,2024-12-07,印尼,自然搜索,Android,25-34,男
U00046,2024-08-15,越南,社交媒体,Android,18-24,女
U00047,2023-07-02,印尼,自然搜索,iOS,25-34,女
U00048,2023-02-07,印尼,内容营销,Android,25-34,女
U00049,2024-07-06,泰国,自然搜索,Android,18-24,女
U00050,2023-12-15,马来西亚,自然搜索,Android,18-24,女
U00051,2024-01-07,菲律宾,自然搜索,Android,25-34,男
U00052,2023-07-15,马来西亚,内容营销,Android,25-34,女
U00053,2023-04-03,菲律宾,社交媒体,Android,18-24,男
U00054,2023-01-07,印尼,KOL推荐,Android,18-24,男
U00055,2023-09-01,马来西亚,付费广告,Android,45+,男
U00056,2023-05-15,泰国,付费广告,iOS,25-34,男
U00057,2023-04-10,泰国,自然搜索,Android,18-24,女
U00058,2023-02-23,泰国,付费广告,iOS,35-44,女
U00059,2023-07-24,越南,社交媒体,iOS,18-24,男
U00060,2024-07-06,越南,社交媒体,iOS,35-44,男
U00061,2024-03-20,越南,付费广告,iOS,35-44,女
U00062,2023-12-11,菲律宾,内容营销,iOS,35-44,女
U00063,2023-03-20,越南,自然搜索,iOS,35-44,男
U00064,2024-05-07,越南,内容营销,iOS,18-24,男
U00065,2024-11-23,印尼,自然搜索,Android,35-44,女
U00066,2024-06-17,泰国,付费广告,iOS,18-24,女
U00067,2024-04-25,菲律宾,付费广告,iOS,25-34,男
U00068,2023-02-05,泰国,付费广告,iOS,45+,男
U00069,2024-09-13,马来西亚,社交媒体,iOS,25-34,女
U00070,2023-11-24,菲律宾,付费广告,iOS,45+,男
U00071,2023-01-27,泰国,付费广告,Android,18-24,男
U00072,2024-11-03,泰国,社交媒体,Android,25-34,女
U00073,2024-06-21,菲律宾,社交媒体,Android,18-24,女
U00074,2023-04-09,印尼,KOL推荐,Android,25-34,男
U00075,2023-11-17,印尼,自然搜索,iOS,18-24,女
U00076,2023-11-03,菲律宾,社交媒体,iOS,18-24,男
U00077,2024-07-20,泰国,社交媒体,iOS,18-24,女
U00078,2024-11-21,越南,付费广告,Android,35-44,男
U00079,2023-11-26,泰国,付费广告,iOS,18-24,女
U00080,2024-02-06,菲律宾,付费广告,Android,35-44,女
U00081,2024-07-21,印尼,自然搜索,iOS,18-24,女
U00082,2024-03-28,越南,自然搜索,iOS,18-24,女
U00083,2023-11-18,泰国,自然搜索,Android,25-34,男
U00084,2023-04-28,越南,社交媒体,Android,45+,男
U00085,2024-07-03,越南,社交媒体,Android,18-24,男
U00086,2023-12-04,印尼,内容营销,Android,18-24,女
U00087,2024-12-12,印尼,社交媒体,Android,35-44,女
U00088,2024-12-01,菲律宾,自然搜索,Android,25-34,女
U00089,2024-04-21,印尼,内容营销,Android,35-44,男
U00090,2023-02-26,泰国,内容营销,iOS,18-24,女
U00091,2024-10-03,印尼,付费广告,Android,25-34,女
U00092,2024-04-26,菲律宾,社交媒体,Android,18-24,女
U00093,2023-10-09,印尼,内容营销,iOS,25-34,女
U00094,2024-02-25,菲律宾,付费广告,Android,35-44,女
U00095,2023-08-02,印尼,内容营销,Android,35-44,女
U00096,2023-11-02,印尼,自然搜索,Android,25-34,男
U00097,2024-03-18,越南,自然搜索,iOS,45+,男
U00098,2023-05-28,泰国,付费广告,Android,18-24,女
U00099,2023-07-23,泰国,社交媒体,Android,18-24,男
U00100,2024-07-19,泰国,KOL推荐,Android,25-34,女
U00101,2024-04-19,印尼,内容营销,iOS,25-34,女
U00102,2024-05-13,越南,付费广告,Android,18-24,女
U00103,2023-08-28,印尼,自然搜索,iOS,25-34,男
U00104,2023-11-18,马来西亚,KOL推荐,Android,25-34,男
U00105,2023-11-23,泰国,社交媒体,iOS,35-44,男
U00106,2023-09-14,越南,自然搜索,Android,35-44,男
U00107,2023-02-17,菲律宾,付费广告,Android,25-34,女
U00108,2024-09-16,泰国,社交媒体,iOS,18-24,男
U00109,2023-05-01,泰国,KOL推荐,iOS,25-34,男
U00110,2023-09-03,越南,付费广告,iOS,35-44,男
U00111,2024-02-18,泰国,付费广告,iOS,18-24,女
U00112,2023-12-23,马来西亚,内容营销,iOS,25-34,女
U00113,2024-02-28,菲律宾,社交媒体,Android,45+,男
U00114,2024-04-05,印尼,付费广告,Android,18-24,女
U00115,2024-08-20,菲律宾,付费广告,Android,18-24,女
U00116,2024-03-09,菲律宾,社交媒体,Android,18-24,男
U00117,2024-05-12,泰国,自然搜索,iOS,25-34,女
U00118,2024-01-10,菲律宾,自然搜索,iOS,45+,女
U00119,2023-07-27,印尼,付费广告,iOS,25-34,男
U00120,2024-12-21,菲律宾,付费广告,Android,25-34,女
U00121,2023-07-08,菲律宾,社交媒体,Android,25-34,男
U00122,2024-12-15,越南,自然搜索,iOS,25-34,男
U00123,2024-09-18,泰国,社交媒体,iOS,25-34,男
U00124,2024-10-01,泰国,付费广告,Android,18-24,女
U00125,2023-10-22,越南,自然搜索,Android,25-34,女
U00126,2024-07-03,菲律宾,自然搜索,Android,25-34,男
U00127,2023-07-04,菲律宾,内容营销,iOS,18-24,男
U00128,2023-05-06,泰国,内容营销,Android,25-34,女
U00129,2023-10-12,印尼,自然搜索,iOS,45+,男
U00130,2024-02-22,越南,KOL推荐,Android,25-34,男
