cohort_month,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
2023-01,0.2769,0.4231,0.6231,0.5308,0.4615,0.3769,0.3,0.3077,0.2538,0.2,0.1615,0.1308
2023-02,0.1957,0.5,0.529,0.5362,0.3551,0.4058,0.3333,0.2754,0.2174,0.1884,0.1522,0.1014
2023-03,0.2154,0.4538,0.6462,0.5154,0.5385,0.4154,0.3154,0.3231,0.2385,0.2923,0.2,0.1462
2023-04,0.2185,0.6387,0.6303,0.5378,0.4706,0.4286,0.3613,0.2941,0.2017,0.1849,0.1261,0.1429
2023-05,0.272,0.464,0.568,0.544,0.472,0.408,0.32,0.336,0.216,0.144,0.168,0.128
2023-06,0.2083,0.5333,0.5083,0.55,0.4083,0.425,0.3083,0.2833,0.2333,0.1833,0.1833,0.1583
2023-07,0.252,0.4567,0.5669,0.6378,0.4882,0.4016,0.3071,0.2598,0.2835,0.1575,0.1811,0.1654
2023-08,0.2409,0.6058,0.6204,0.4964,0.5328,0.4672,0.4088,0.3431,0.3066,0.2701,0.2555,0.219
2023-09,0.25,0.4083,0.6417,0.5833,0.45,0.4167,0.35,0.3417,0.225,0.2083,0.1417,0.1833
2023-10,0.2955,0.5379,0.5076,0.5076,0.4848,0.3788,0.4091,0.3182,0.2652,0.1818,0.1742,0.197
2023-11,0.2703,0.5676,0.6036,0.5586,0.4144,0.5135,0.3694,0.2793,0.2793,0.2613,0.1982,0.1712
2023-12,0.2931,0.5086,0.5,0.4914,0.4138,0.4052,0.3707,0.2759,0.2155,0.181,0.181,0.181
2024-01,0.227,0.3972,0.617,0.5532,0.3617,0.3191,0.3191,0.2979,0.1986,0.2128,0.1773,0.1277
2024-02,0.3393,0.5446,0.5536,0.5714,0.4643,0.4732,0.4286,0.3393,0.2768,0.25,0.2411,0.1607
2024-03,0.3071,0.5433,0.5669,0.5669,0.4961,0.4567,0.2598,0.3386,0.2362,0.2283,0.2047,0.1654
2024-04,0.1967,0.4836,0.6803,0.541,0.4672,0.5,0.4098,0.3279,0.2787,0.3115,0.2459,0.1475
2024-05,0.302,0.4295,0.5973,0.4832,0.5034,0.3624,0.2416,0.2416,0.1678,0.1745,0.1208,0.1208
2024-06,0.2054,0.5357,0.625,0.4375,0.5089,0.3929,0.3482,0.25,0.2054,0.2321,0.1875,0.1518
2024-07,0.2992,0.5118,0.5197,0.6142,0.4882,0.4488,0.3307,0.3071,0.2913,0.2598,0.2283,0.189
2024-08,0.234,0.5106,0.6383,0.5957,0.539,0.4752,0.3972,0.3404,0.227,0.2057,0.156,0.1206
2024-09,0.2667,0.6083,0.5083,0.5833,0.4,0.4333,0.3917,0.2667,0.2583,0.2167,0.1833,0.1333
2024-10,0.2667,0.5259,0.5407,0.5407,0.4074,0.4,0.363,0.2889,0.2667,0.1333,0.1481,0.1481
2024-11,0.3033,0.5574,0.623,0.4672,0.5164,0.4262,0.3607,0.2705,0.2295,0.1885,0.1148,0.123
2024-12,0.3103,0.5287,0.5517,0.4828,0.4828,0.3103,0.3103,0.2414,0.2299,0.1724,0.1494,0.1839
