month,active_users,revenue,new_users,arpu,arppu,pay_rate,cumulative_revenue
2023-01,36,13426.94,130,372.97,372.97,1.0,13426.94
2023-02,82,27197.21,138,331.67,331.67,1.0,40624.15
2023-03,178,64976.03,130,365.03,365.03,1.0,105600.18
2023-04,227,89004.75,119,392.09,392.09,1.0,194604.93
2023-05,328,140367.44,125,427.95,427.95,1.0,334972.37
2023-06,323,131811.79,120,408.09,408.09,1.0,466784.16
2023-07,396,178585.9,127,450.97,450.97,1.0,645370.06
2023-08,416,192957.67,137,463.84,463.84,1.0,838327.73
2023-09,473,227843.95,120,481.7,481.7,1.0,1066171.68
2023-10,495,259454.96,132,524.15,524.15,1.0,1325626.64
2023-11,512,267514.06,111,522.49,522.49,1.0,1593140.7
2023-12,537,298862.12,116,556.54,556.54,1.0,1892002.82
2024-01,522,297375.21,141,569.68,569.68,1.0,2189378.03
2024-02,527,303719.43,112,576.32,576.32,1.0,2493097.46
2024-03,569,348493.41,127,612.47,612.47,1.0,2841590.87
2024-04,587,364790.05,122,621.45,621.45,1.0,3206380.92
2024-05,583,356389.56,149,611.3,611.3,1.0,3562770.48
2024-06,600,372598.24,112,621.0,621.0,1.0,3935368.72
2024-07,614,381084.44,127,620.66,620.66,1.0,4316453.16
2024-08,640,444415.02,141,694.4,694.4,1.0,4760868.18
2024-09,611,405022.55,120,662.88,662.88,1.0,5165890.73
2024-10,684,404187.32,135,590.92,590.92,1.0,5570078.05
2024-11,633,382953.95,122,604.98,604.98,1.0,5953032.0
2024-12,638,398241.04,87,624.2,624.2,1.0,6351273.04
2025-01,593,410805.66,0,692.76,692.76,1.0,6762078.7
2025-02,511,351518.12,0,687.9,687.9,1.0,7113596.82
2025-03,467,328805.32,0,704.08,704.08,1.0,7442402.14
2025-04,390,293268.82,0,751.97,751.97,1.0,7735670.96
2025-05,321,252790.25,0,787.51,787.51,1.0,7988461.21
2025-06,263,193264.16,0,734.84,734.84,1.0,8181725.37
2025-07,204,173008.4,0,848.08,848.08,1.0,8354733.77
2025-08,193,163872.58,0,849.08,849.08,1.0,8518606.35
2025-09,159,143950.63,0,905.35,905.35,1.0,8662556.98
2025-10,156,172483.65,0,1105.66,1105.66,1.0,8835040.63
2025-11,120,98435.66,0,820.3,820.3,1.0,8933476.29
2025-12,118,108291.59,0,917.73,917.73,1.0,9041767.88
2026-01,95,94013.68,0,989.62,989.62,1.0,9135781.56
2026-02,68,70195.15,0,1032.28,1032.28,1.0,9205976.71
2026-03,78,81120.62,0,1040.01,1040.01,1.0,9287097.33
2026-04,62,68431.54,0,1103.73,1103.73,1.0,9355528.87
2026-05,43,40726.4,0,947.13,947.13,1.0,9396255.27
2026-06,34,37559.69,0,1104.7,1104.7,1.0,9433814.96
2026-07,42,53346.5,0,1270.15,1270.15,1.0,9487161.46
2026-08,29,42586.37,0,1468.5,1468.5,1.0,9529747.83
2026-09,17,16649.4,0,979.38,979.38,1.0,9546397.23
2026-10,33,35454.69,0,1074.38,1074.38,1.0,9581851.92
2026-11,20,23978.77,0,1198.94,1198.94,1.0,9605830.69
2026-12,22,24404.59,0,1109.3,1109.3,1.0,9630235.28
2027-01,17,17678.15,0,1039.89,1039.89,1.0,9647913.43
2027-02,11,10136.539999999999,0,921.5,921.5,1.0,9658049.97
2027-03,11,15831.7,0,1439.25,1439.25,1.0,9673881.67
2027-04,8,8736.92,0,1092.12,1092.12,1.0,9682618.59
2027-05,5,9547.02,0,1909.4,1909.4,1.0,9692165.61
2027-06,7,8324.26,0,1189.18,1189.18,1.0,9700489.87
2027-07,5,7132.17,0,1426.43,1426.43,1.0,9707622.04
2027-08,5,4096.88,0,819.38,819.38,1.0,9711718.92
2027-09,5,6826.57,0,1365.31,1365.31,1.0,9718545.49
2027-10,4,3113.26,0,778.32,778.32,1.0,9721658.75
2027-12,2,2907.62,0,1453.81,1453.81,1.0,9724566.37
2028-01,2,4968.17,0,2484.08,2484.08,1.0,9729534.54
2028-02,1,662.83,0,662.83,662.83,1.0,9730197.37
2028-03,1,1569.61,0,1569.61,1569.61,1.0,9731766.98
