user_id,register_date,channel,city_tier,user_type
U00001,2023-07-20,自然搜索,三线,新客
U00002,2024-03-07,自然搜索,一线,新客
U00003,2023-08-20,自然搜索,二线,新客
U00004,2023-07-26,社交媒体,四线及以下,新客
U00005,2024-07-17,付费广告,二线,新客
U00006,2023-11-08,付费广告,一线,新客
U00007,2024-12-12,付费广告,一线,新客
U00008,2023-04-09,内容营销,二线,新客
U00009,2024-11-24,自然搜索,一线,新客
U00010,2024-10-13,自然搜索,三线,新客
U00011,2023-02-24,自然搜索,三线,新客
U00012,2023-12-03,内容营销,一线,新客
U00013,2023-02-28,社交媒体,四线及以下,新客
U00014,2024-08-24,付费广告,二线,新客
U00015,2023-12-23,自然搜索,一线,新客
U00016,2024-10-04,付费广告,三线,新客
U00017,2024-05-22,自然搜索,三线,新客
U00018,2023-10-26,内容营销,三线,新客
U00019,2024-04-10,口碑推荐,四线及以下,新客
U00020,2024-03-15,付费广告,三线,新客
U00021,2023-12-20,内容营销,四线及以下,新客
U00022,2024-08-18,自然搜索,二线,新客
U00023,2023-03-07,社交媒体,三线,新客
U00024,2024-07-01,内容营销,四线及以下,老客带新
U00025,2024-09-01,付费广告,三线,新客
U00026,2023-07-18,口碑推荐,一线,新客
U00027,2023-04-26,付费广告,二线,新客
U00028,2024-02-13,付费广告,二线,新客
U00029,2023-09-24,自然搜索,一线,新客
U00030,2024-08-25,付费广告,四线及以下,老客带新
U00031,2024-08-21,社交媒体,一线,新客
U00032,2024-03-24,内容营销,一线,新客
U00033,2023-07-12,社交媒体,四线及以下,新客
U00034,2023-08-14,内容营销,二线,新客
U00035,2023-03-16,口碑推荐,一线,老客带新
U00036,2024-04-29,自然搜索,二线,新客
U00037,2024-06-02,付费广告,三线,新客
U00038,2023-04-03,自然搜索,一线,新客
U00039,2023-06-22,社交媒体,四线及以下,新客
U00040,2023-10-02,内容营销,二线,新客
U00041,2024-10-10,自然搜索,二线,新客
U00042,2023-11-29,社交媒体,二线,新客
U00043,2023-10-02,社交媒体,三线,新客
U00044,2024-02-11,社交媒体,一线,新客
U00045,2024-03-04,付费广告,一线,新客
U00046,2024-02-18,付费广告,二线,新客
U00047,2023-08-20,自然搜索,三线,新客
U00048,2024-04-08,自然搜索,一线,新客
U00049,2024-06-09,自然搜索,三线,新客
U00050,2024-09-16,社交媒体,三线,新客
U00051,2024-01-05,自然搜索,一线,新客
U00052,2024-03-09,内容营销,一线,新客
U00053,2023-01-26,付费广告,二线,新客
U00054,2023-07-09,社交媒体,二线,新客
U00055,2024-11-22,付费广告,一线,新客
