user_id,recency_days,frequency,monetary,segment,R_score,F_score,M_score
U00001,5,24,26785.64,重要价值用户,5,5,5
U00002,35,8,4216.64,重要价值用户,3,4,4
U00003,75,3,978.3299999999999,一般挽留用户,2,2,3
U00004,62,1,236.57,一般挽留用户,3,1,2
U00005,62,1,103.62,一般挽留用户,3,1,1
U00006,2,3,535.52,一般发展用户,5,2,2
U00007,42,5,1527.02,重要价值用户,3,3,3
U00008,4,22,14118.76,重要价值用户,5,5,5
U00009,73,3,670.62,一般挽留用户,2,2,3
U00010,43,9,3851.25,重要价值用户,3,4,4
U00011,50,3,398.14,一般挽留用户,3,2,2
U00012,66,4,1461.71,重要挽留用户,3,3,3
U00013,33,6,731.65,一般价值用户,3,3,3
U00014,18,2,229.72,一般发展用户,4,1,2
U00015,282,1,158.73,一般挽留用户,1,1,1
U00016,5,14,13414.77,重要价值用户,5,5,5
U00017,232,2,223.92000000000002,一般挽留用户,1,1,2
U00018,19,27,7683.06,重要价值用户,4,5,5
U00019,110,6,1931.96,重要保持用户,2,3,4
U00020,52,7,880.15,一般保持用户,3,4,3
U00021,134,7,2787.43,重要保持用户,2,4,4
U00022,124,1,35.42,一般挽留用户,2,1,1
U00023,23,5,1762.15,重要价值用户,4,3,4
U00024,14,18,13035.4,重要价值用户,5,5,5
U00025,15,20,15516.21,重要价值用户,4,5,5
U00026,46,25,23273.9,重要价值用户,3,5,5
U00027,7,8,2188.84,重要价值用户,5,4,4
U00028,10,9,5828.36,重要价值用户,5,4,5
U00029,29,20,24395.59,重要价值用户,4,5,5
U00030,2,27,18333.13,重要价值用户,5,5,5
U00031,36,8,5079.97,重要价值用户,3,4,5
U00032,123,2,462.27,一般挽留用户,2,1,2
U00033,96,5,1990.9099999999999,重要保持用户,2,3,4
U00034,87,3,474.43,一般挽留用户,2,2,2
U00035,69,3,193.57,一般挽留用户,2,2,2
U00036,3,8,2832.85,重要价值用户,5,4,4
U00037,64,2,356.62,一般挽留用户,3,1,2
U00038,83,7,2665.08,重要保持用户,2,4,4
U00039,2,7,1423.99,重要价值用户,5,4,3
U00040,28,3,1500.62,重要发展用户,4,2,3
U00041,118,3,338.0,一般挽留用户,2,2,2
U00042,23,16,12089.09,重要价值用户,4,5,5
U00043,91,7,4786.4400000000005,重要保持用户,2,4,5
U00044,32,8,1147.58,重要价值用户,4,4,3
U00045,5,23,12256.59,重要价值用户,5,5,5
U00046,4,4,1910.24,重要发展用户,5,3,4
U00047,64,1,17.61,一般挽留用户,3,1,1
U00048,25,1,81.81,一般发展用户,4,1,1
U00049,22,8,3755.41,重要价值用户,4,4,4
U00050,23,6,3246.56,重要价值用户,4,3,4
U00051,34,6,2466.1,重要价值用户,3,3,4
U00052,35,2,154.67,一般发展用户,3,1,1
U00053,9,14,12023.17,重要价值用户,5,5,5
U00054,31,4,1059.6,一般发展用户,4,3,3
U00055,45,6,1985.55,重要价值用户,3,3,4
U00056,1,9,3455.3900000000003,重要价值用户,5,4,4
U00057,25,16,10115.539999999999,重要价值用户,4,5,5
U00058,241,3,406.86,一般挽留用户,1,2,2
U00059,201,3,544.72,一般挽留用户,1,2,3
U00060,12,12,7939.03,重要价值用户,5,5,5
U00061,29,9,2726.43,重要价值用户,4,4,4
U00062,39,13,6586.01,重要价值用户,3,5,5
U00063,8,10,8956.12,重要价值用户,5,5,5
U00064,8,5,1466.82,重要价值用户,5,3,3
U00065,135,3,360.97,一般挽留用户,1,2,2
U00066,313,1,38.27,一般挽留用户,1,1,1
U00067,102,9,2573.76,重要保持用户,2,4,4
U00068,125,3,144.0,一般挽留用户,2,2,1
U00069,41,2,248.21999999999997,一般发展用户,3,1,2
U00070,50,8,3144.79,重要保持用户,3,4,4
U00071,10,26,21280.82,重要价值用户,5,5,5
U00072,20,8,2953.93,重要价值用户,4,4,4
U00073,144,3,382.31,一般挽留用户,1,2,2
U00074,35,9,2921.93,重要价值用户,3,4,4
U00075,148,2,172.91,一般挽留用户,1,1,1
U00076,65,6,1942.23,重要保持用户,3,3,4
U00077,45,3,165.48000000000002,一般发展用户,3,2,1
U00078,15,21,6738.61,重要价值用户,4,5,5
U00079,4,13,9841.58,重要价值用户,5,5,5
U00080,2,12,6281.43,重要价值用户,5,5,5
U00081,7,3,135.7,一般发展用户,5,2,1
U00082,1,6,2804.31,重要价值用户,5,3,4
U00083,63,5,2087.03,重要保持用户,3,3,4
U00084,124,2,230.96,一般挽留用户,2,1,2
U00085,42,2,86.96000000000001,一般发展用户,3,1,1
U00086,15,6,2022.99,重要价值用户,4,3,4
U00087,23,8,914.12,一般价值用户,4,4,3
U00088,319,2,114.44,一般挽留用户,1,1,1
U00089,79,1,123.42,一般挽留用户,2,1,1
U00090,9,9,7138.62,重要价值用户,5,4,5
U00091,115,3,117.62,一般挽留用户,2,2,1
U00092,174,3,176.53,一般挽留用户,1,2,1
U00093,27,6,1652.54,重要价值用户,4,3,3
U00094,126,2,123.58,一般挽留用户,2,1,1
U00095,32,16,13355.07,重要价值用户,4,5,5
U00096,118,2,446.87,一般挽留用户,2,1,2
U00097,148,1,173.51,一般挽留用户,1,1,1
U00098,48,4,678.8,一般挽留用户,3,3,3
U00099,71,4,800.97,一般挽留用户,2,3,3
U00100,44,3,349.44,一般发展用户,3,2,2
U00101,108,2,180.59,一般挽留用户,2,1,1
U00102,51,4,1292.5900000000001,重要挽留用户,3,3,3
U00103,78,8,2061.4,重要保持用户,2,4,4
U00104,118,9,3551.1400000000003,重要保持用户,2,4,4
U00105,28,4,1511.01,重要发展用户,4,3,3
U00106,8,1,200.84,一般发展用户,5,1,2
U00107,82,3,619.98,一般挽留用户,2,2,3
U00108,31,5,1205.01,重要价值用户,4,3,3
U00109,3,5,1611.18,重要价值用户,5,3,3
U00110,25,1,104.35,一般发展用户,4,1,1
U00111,22,17,15919.42,重要价值用户,4,5,5
U00112,53,3,323.44,一般挽留用户,3,2,2
U00113,77,9,1887.48,重要保持用户,2,4,4
U00114,2,27,13757.28,重要价值用户,5,5,5
U00115,74,4,693.64,一般挽留用户,2,3,3
U00116,31,8,5068.62,重要价值用户,4,4,5
U00117,207,1,127.65,一般挽留用户,1,1,1
U00118,165,1,137.17,一般挽留用户,1,1,1
U00119,155,3,337.51,一般挽留用户,1,2,2
U00120,34,8,3405.3599999999997,重要价值用户,3,4,4
U00121,30,2,310.4,一般发展用户,4,1,2
U00122,48,4,1299.8,重要挽留用户,3,3,3
U00123,97,1,168.0,一般挽留用户,2,1,1
U00124,26,6,2890.6,重要价值用户,4,3,4
U00125,111,4,2168.23,重要挽留用户,2,3,4
U00126,1,15,6102.41,重要价值用户,5,5,5
U00127,25,10,7235.42,重要价值用户,4,5,5
U00128,163,2,419.26,一般挽留用户,1,1,2
