user_id,order_date,order_amount,order_id
U00001,2024-01-05,1524.62,ORD00000_8
U00001,2024-01-08,1532.34,ORD00000_5
U00001,2024-01-26,1413.58,ORD00000_12
U00001,2024-02-08,926.61,ORD00000_0
U00001,2024-02-22,1176.15,ORD00000_17
U00001,2024-03-13,1410.68,ORD00000_21
U00001,2024-03-13,498.32,ORD00000_23
U00001,2024-03-29,1415.75,ORD00000_22
U00001,2024-04-23,678.99,ORD00000_11
U00001,2024-05-05,753.99,ORD00000_3
U00001,2024-05-08,1251.23,ORD00000_6
U00001,2024-06-05,913.69,ORD00000_7
U00001,2024-06-07,1260.19,ORD00000_24
U00001,2024-06-23,1206.31,ORD00000_9
U00001,2024-06-26,794.82,ORD00000_1
U00001,2024-07-10,448.62,ORD00000_20
U00001,2024-08-07,579.22,ORD00000_19
U00001,2024-08-19,1295.55,ORD00000_13
U00001,2024-10-13,1166.64,ORD00000_16
U00001,2024-10-15,1098.12,ORD00000_15
U00001,2024-10-20,556.13,ORD00000_2
U00001,2024-11-06,1542.59,ORD00000_10
U00001,2024-11-23,1327.28,ORD00000_14
U00001,2024-12-01,1496.96,ORD00000_4
U00001,2024-12-26,517.26,ORD00000_18
U00002,2024-01-19,646.54,ORD00001_0
U00002,2024-03-16,534.35,ORD00001_6
U00002,2024-03-22,686.22,ORD00001_1
U00002,2024-05-22,582.87,ORD00001_7
U00002,2024-07-31,372.75,ORD00001_5
U00002,2024-10-05,435.63,ORD00001_2
U00002,2024-11-05,556.59,ORD00001_4
U00002,2024-11-26,401.69,ORD00001_3
U00003,2024-04-19,386.03,ORD00002_2
U00003,2024-09-23,370.55,ORD00002_1
U00003,2024-10-17,221.75,ORD00002_0
U00004,2024-10-30,236.57,ORD00003_0
U00005,2024-10-30,103.62,ORD00004_0
U00006,2024-01-21,101.24,ORD00005_1
U00006,2024-12-01,187.67,ORD00005_2
U00006,2024-12-29,246.61,ORD00005_0
U00007,2024-02-21,322.13,ORD00006_2
U00007,2024-06-05,364.81,ORD00006_3
U00007,2024-10-01,139.57,ORD00006_1
U00007,2024-10-17,293.51,ORD00006_4
U00007,2024-11-19,407.0,ORD00006_0
U00008,2024-01-09,646.68,ORD00007_14
